surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Au111,acetic_acid,r2scan,-0.19,-0.36,-0.18,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethane,pbe,-0.01,-0.24,-0.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethane,pbe_d3,-0.29,-0.24,+0.05,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethane,r2scan,0.07,-0.24,-0.31,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethanol,pbe,-0.06,-0.28,-0.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethanol,pbe_d3,-0.49,-0.28,+0.21,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethanol,r2scan,-0.13,-0.28,-0.14,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethene,pbe,-0.03,-0.19,-0.16,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethene,pbe_d3,-0.45,-0.19,+0.25,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,ethene,r2scan,-0.01,-0.19,-0.19,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formaldehyde,pbe,-0.07,-0.21,-0.14,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formaldehyde,pbe_d3,-0.34,-0.21,+0.13,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formate,pbe,-2.19,-1.47,+0.71,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formate,pbe_d3,-2.50,-1.47,+1.03,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formate,r2scan,-2.69,-1.47,+1.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formic_acid,pbe,-0.10,-0.37,-0.27,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formic_acid,pbe_d3,-0.46,-0.37,+0.09,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,formic_acid,r2scan,-0.25,-0.37,-0.12,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,glycerol,pbe,-0.26,-0.59,-0.33,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,glycerol,pbe_d3,-0.87,-0.59,+0.28,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,glycerol,r2scan,-0.41,-0.59,-0.17,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,isopropanol,pbe,-0.09,-0.33,-0.24,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,isopropanol,pbe_d3,-0.59,-0.33,+0.26,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,isopropanol,r2scan,-0.24,-0.33,-0.09,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,methane,pbe,-0.00,-0.37,-0.36,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,methane,pbe_d3,-0.20,-0.37,-0.17,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,methane,r2scan,-0.06,-0.37,-0.31,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,methanol,pbe,-0.06,-0.26,-0.20,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,methanol,pbe_d3,-0.33,-0.26,+0.07,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,methanol,r2scan,0.08,-0.26,-0.35,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propane,pbe,-0.03,-0.24,-0.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propane,pbe_d3,-0.42,-0.24,+0.17,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propane,r2scan,-0.10,-0.24,-0.14,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propanol,pbe,-0.09,-0.32,-0.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propanol,pbe_d3,-0.63,-0.32,+0.31,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propanol,r2scan,-0.28,-0.32,-0.04,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propene,pbe,-0.07,-0.20,-0.14,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propene,pbe_d3,-0.62,-0.20,+0.42,11b026e8de754c84d5b784e3036e0063b5e3c391
Au111,propene,r2scan,-0.21,-0.20,+0.00,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CH3,pbe,-1.255,-1.95,-0.695,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CH3,pbe_d3,-1.646,-1.95,-0.303,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CO,pbe,-0.781,-1.19,-0.414,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CO,pbe_d3,-1.027,-1.19,-0.167,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CO,r2scan,-0.95,-1.19,-0.25,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CO2,pbe,-0.032,-0.36,-0.329,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,CO2,r2scan,-0.06,-0.36,-0.30,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,DME,pbe,-4.76,-0.27,+4.48,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,DME,r2scan,-0.23,-0.27,-0.05,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,H2O,pbe,-0.246,-0.57,-0.319,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,H2O,pbe_d3,-0.476,-0.57,-0.089,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,H2O,r2scan,-0.36,-0.57,-0.20,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,H2S,pbe,-0.271,-0.47,-0.194,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,H2S,pbe_d3,-0.719,-0.47,+0.254,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,N2,pbe,-0.018,-0.07,-0.055,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,N2,pbe_d3,-0.099,-0.07,+0.027,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,NH3,pbe,-0.571,-0.90,-0.331,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,NH3,pbe_d3,-0.903,-0.90,+0.001,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,NO,pbe,-1.769,-1.48,+0.288,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,NO,pbe_d3,-1.988,-1.48,+0.507,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,SO2,pbe,-0.817,-1.09,-0.272,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,SO2,pbe_d3,-1.329,-1.09,+0.241,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,acetaldehyde,pbe,-0.209,-0.60,-0.394,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,acetaldehyde,pbe_d3,-0.487,-0.60,-0.115,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,acetaldehyde,r2scan,-0.37,-0.60,-0.23,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,acetic_acid,r2scan,-0.47,-0.75,-0.28,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethane,pbe,-0.014,-0.32,-0.301,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethane,pbe_d3,-0.367,-0.32,+0.051,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethane,r2scan,0.00,-0.32,-0.32,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethanol,pbe,-0.237,-0.50,-0.266,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethanol,pbe_d3,-0.728,-0.50,+0.225,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethanol,r2scan,-0.36,-0.50,-0.14,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethene,pbe,-0.172,-0.47,-0.294,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethene,pbe_d3,-0.736,-0.47,+0.269,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,ethene,r2scan,-0.43,-0.47,-0.04,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,formaldehyde,pbe,-0.168,-0.44,-0.275,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,formaldehyde,pbe_d3,-0.434,-0.44,-0.008,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,formic_acid,pbe,-0.275,-0.53,-0.255,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,formic_acid,pbe_d3,-0.623,-0.53,+0.092,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,formic_acid,r2scan,-0.48,-0.53,-0.05,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,methane,pbe,-0.016,-0.42,-0.409,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,methane,pbe_d3,-0.210,-0.42,-0.215,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,methane,r2scan,-0.033,-0.42,-0.391,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,methanol,pbe,-0.247,-0.47,-0.226,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,methanol,pbe_d3,-0.591,-0.47,+0.117,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu100,methanol,r2scan,-0.32,-0.47,-0.15,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CH3,pbe,-1.216,-2.27,-1.051,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CH3,pbe_d3,-1.568,-2.27,-0.700,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CH3,r2scan,-1.342,-2.27,-0.925,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CO,pbe,-0.485,-1.35,-0.864,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CO,pbe_d3,-0.710,-1.35,-0.639,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CO,r2scan,-0.674,-1.35,-0.675,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CO2,pbe,0.462,-0.41,-0.869,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,CO2,r2scan,0.33,-0.41,-0.74,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,DME,pbe,-4.34,-0.34,+3.99,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,DME,r2scan,-0.028,-0.34,-0.315,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,H2O,pbe,0.161,-0.71,-0.868,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,H2O,pbe_d3,-0.102,-0.71,-0.605,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,H2O,r2scan,-0.047,-0.71,-0.660,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,H2S,pbe,0.102,-0.61,-0.716,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,H2S,pbe_d3,-0.361,-0.61,-0.254,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,H2S,r2scan,-0.101,-0.61,-0.513,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,N2,pbe,0.355,-0.25,-0.605,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,N2,pbe_d3,0.117,-0.25,-0.367,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,N2,r2scan,0.181,-0.25,-0.431,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,NH3,pbe,-0.148,-1.05,-0.902,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,NH3,pbe_d3,-0.480,-1.05,-0.571,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,NH3,r2scan,-0.360,-1.05,-0.691,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,NO,pbe,-1.022,-1.57,-0.544,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,NO,pbe_d3,-1.240,-1.57,-0.326,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,SO2,pbe,-0.657,-1.33,-0.673,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,SO2,pbe_d3,-1.183,-1.33,-0.147,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,acetaldehyde,pbe,0.240,-0.75,-0.990,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,acetaldehyde,pbe_d3,-0.078,-0.75,-0.672,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,acetaldehyde,r2scan,-0.010,-0.75,-0.740,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,acetic_acid,r2scan,-0.224,-0.86,-0.635,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,ethane,pbe,0.477,-0.43,-0.903,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,ethane,pbe_d3,0.225,-0.43,-0.651,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,ethane,r2scan,0.386,-0.43,-0.812,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,ethene,pbe,0.033,-0.81,-0.840,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,ethene,pbe_d3,-0.519,-0.81,-0.289,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,ethene,r2scan,-0.299,-0.81,-0.508,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,formaldehyde,pbe,0.248,-0.62,-0.872,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,formaldehyde,pbe_d3,-0.074,-0.62,-0.550,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,formaldehyde,r2scan,0.022,-0.62,-0.646,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,formic_acid,pbe,0.090,-0.69,-0.777,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,formic_acid,pbe_d3,-0.306,-0.69,-0.381,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,formic_acid,r2scan,-0.190,-0.69,-0.497,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,glycerol,pbe_d3,-0.14,-1.07,-0.93,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,glycerol,r2scan,0.13,-1.07,-1.19,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,isopropanol,pbe_d3,0.48,-0.72,-1.20,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,methane,pbe,0.495,-0.50,-0.992,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,methane,pbe_d3,0.297,-0.50,-0.795,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,methane,r2scan,0.405,-0.50,-0.903,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,methanol,pbe,0.138,-0.59,-0.730,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,methanol,pbe_d3,-0.232,-0.59,-0.361,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,methanol,r2scan,-0.15,-0.59,-0.45,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,propanol,pbe_d3,0.49,-0.69,-1.18,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu110,propene,pbe_d3,0.35,-0.64,-0.98,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,CH3,pbe,0.313,-1.87,-2.180,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,CH3,pbe_d3,-0.076,-1.87,-1.791,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,CO,pbe_d3,0.44,-1.24,-1.68,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,CO,r2scan,0.42,-1.24,-1.66,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,DME,pbe,-3.06,-0.22,+2.84,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,H2O,pbe,1.547,n/a,-2.022,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,H2O,pbe_d3,1.162,n/a,-1.637,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,H2S,pbe,1.366,n/a,-1.750,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,H2S,pbe_d3,0.831,n/a,-1.214,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,N2,pbe,1.604,n/a,-1.684,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,N2,pbe_d3,1.482,n/a,-1.562,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,NH3,pbe,1.104,n/a,-1.883,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,NH3,pbe_d3,0.704,n/a,-1.483,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,NH3,r2scan,0.792,n/a,-1.571,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,NO,pbe,0.035,-1.41,-1.448,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,NO,pbe_d3,-0.213,-1.41,-1.200,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,SO2,pbe,1.055,n/a,-1.772,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,SO2,pbe_d3,0.527,n/a,-1.245,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,acetaldehyde,pbe,1.451,n/a,-1.901,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,acetaldehyde,pbe_d3,1.086,n/a,-1.535,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethane,pbe,1.593,n/a,-1.880,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethane,pbe_d3,1.149,n/a,-1.436,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethane,r2scan,1.362,n/a,-1.649,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethanol,pbe,1.493,n/a,-1.873,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethanol,pbe_d3,0.928,n/a,-1.308,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethene,pbe,1.569,n/a,-1.754,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,ethene,pbe_d3,0.785,n/a,-0.971,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,formaldehyde,pbe,1.524,n/a,-1.789,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,formaldehyde,pbe_d3,1.164,n/a,-1.430,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,methane,pbe,1.603,n/a,-2.015,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,methane,pbe_d3,1.294,n/a,-1.705,11b026e8de754c84d5b784e3036e0063b5e3c391
Cu111,methane,r2scan,1.390,n/a,-1.802,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CH3,pbe,-2.181,-2.89,-0.708,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CH3,pbe_d3,-2.456,-2.89,-0.433,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CH3,beef_vdw,-2.260,-2.89,-0.629,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO,pbe,-2.232,-2.70,-0.472,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO,pbe_d3,-2.488,-2.70,-0.216,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO,r2scan,-2.48,-2.70,-0.22,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO,beef_vdw,-2.131,-2.70,-0.573,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO2,pbe,-0.024,-0.37,-0.350,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO2,r2scan,-0.25,-0.37,-0.13,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,CO2,beef_vdw,-0.267,-0.37,-0.107,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,DME,pbe,-4.96,-0.48,+4.48,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,DME,r2scan,-0.83,-0.48,+0.35,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,DME,beef_vdw,-0.736,-0.48,+0.253,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2O,pbe,-0.488,-0.86,-0.371,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2O,pbe_d3,-0.706,-0.86,-0.153,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2O,r2scan,-0.81,-0.86,-0.05,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2O,beef_vdw,-0.542,-0.86,-0.316,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2S,pbe,-2.603,-2.86,-0.260,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2S,pbe_d3,-3.086,-2.86,+0.222,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,H2S,beef_vdw,-2.591,-2.86,-0.273,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,N2,pbe,-0.810,-0.79,+0.017,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,N2,pbe_d3,-1.057,-0.79,+0.264,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,N2,beef_vdw,-0.805,-0.79,+0.012,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,NH3,pbe,-1.290,-1.70,-0.407,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,NH3,pbe_d3,-1.585,-1.70,-0.113,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,NO,pbe,-3.067,-2.83,+0.236,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,NO,pbe_d3,-3.309,-2.83,+0.478,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,SO2,pbe,-2.254,-2.12,+0.135,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,SO2,pbe_d3,-2.783,-2.12,+0.664,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,acetaldehyde,pbe,-0.586,-0.74,-0.151,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,acetaldehyde,pbe_d3,-0.946,-0.74,+0.209,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,acetaldehyde,r2scan,-0.95,-0.74,+0.21,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,acetaldehyde,beef_vdw,-0.770,-0.74,+0.033,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,acetic_acid,r2scan,-1.10,-1.04,+0.06,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,acetic_acid,beef_vdw,-0.902,-1.04,-0.139,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethane,pbe,-0.003,-0.45,-0.447,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethane,pbe_d3,-0.383,-0.45,-0.066,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethane,r2scan,-0.26,-0.45,-0.19,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethane,beef_vdw,-0.313,-0.45,-0.136,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethanol,pbe,-0.533,-0.79,-0.260,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethanol,pbe_d3,-1.031,-0.79,+0.238,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethanol,r2scan,-0.94,-0.79,+0.15,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethanol,beef_vdw,-0.828,-0.79,+0.035,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethene,pbe,-1.407,-2.16,-0.756,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethene,pbe_d3,-1.937,-2.16,-0.226,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethene,r2scan,-1.92,-2.16,-0.24,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,ethene,beef_vdw,-1.381,-2.16,-0.781,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formaldehyde,pbe,-1.320,-1.75,-0.432,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formaldehyde,pbe_d3,-1.657,-1.75,-0.096,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formaldehyde,beef_vdw,-1.333,-1.75,-0.419,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formic_acid,pbe,-0.660,-1.02,-0.363,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formic_acid,pbe_d3,-1.032,-1.02,+0.009,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formic_acid,r2scan,-1.04,-1.02,+0.02,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,formic_acid,beef_vdw,-0.797,-1.02,-0.226,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methane,pbe,-0.000,-0.60,-0.601,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methane,pbe_d3,-0.200,-0.60,-0.401,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methane,beef_vdw,-0.204,-0.60,-0.397,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methanol,pbe,-0.535,-0.77,-0.240,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methanol,pbe_d3,-0.912,-0.77,+0.137,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methanol,r2scan,-0.93,-0.77,+0.15,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir100,methanol,beef_vdw,-0.746,-0.77,-0.029,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CH3,pbe,-2.378,-2.93,-0.552,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CH3,pbe_d3,-2.625,-2.93,-0.305,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CH3,r2scan,-2.274,-2.93,-0.656,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CH3,beef_vdw,-2.430,-2.93,-0.500,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO,pbe,-2.322,-2.77,-0.448,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO,pbe_d3,-2.532,-2.77,-0.238,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO,r2scan,-2.12,-2.77,-0.65,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO,beef_vdw,-2.209,-2.77,-0.561,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO2,pbe,-0.041,-0.43,-0.386,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO2,r2scan,-0.120,-0.43,-0.308,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,CO2,beef_vdw,-0.307,-0.43,-0.120,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,DME,r2scan,-0.751,-0.64,+0.108,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,DME,beef_vdw,-0.952,-0.64,+0.309,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2O,pbe,-0.612,-1.01,-0.397,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2O,pbe_d3,-0.859,-1.01,-0.149,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2O,r2scan,-0.744,-1.01,-0.265,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2O,beef_vdw,-0.686,-1.01,-0.323,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2S,pbe,-2.712,-2.79,-0.075,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2S,pbe_d3,-3.161,-2.79,+0.374,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2S,r2scan,-2.868,-2.79,+0.081,11b026e8de754c84d5b784e3036e0063b5e3c391
Ir110,H2S,beef_vdw,-2.759,-2.79,-0.028,11b026e8de754c84d5b784e3036e0063b5e3c391
