cluster,role,surface,molecule,functional,mode,status,E_TOTEN_eV,composition,directory,snapshot_id,source_kind,note
kestrel,complex,Ag100,CO2,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/beef_vdw,ef3cf76b366ab6faa89d03a8ee66f557d472eb4ea46f0165d4931adfce1040f9,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,CO2,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/r2scan,b14a7ebbb2500764d467498aff245374b2bc6ad41cbcb69ba2be98223df68343,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,DME,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE,037562149d55e08f1bd663d07a2a22b856054bb2c3f79a7bc4f10b0d7eafbc59,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,DME,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE_D3,f388a1eee029a636a012cdfbc8bf7716e5d2620742ac2e83c13ebe477a21727e,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,DME,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/beef_vdw,a01caf0b21aa7432286b653f2eb4634bee0b248ee46153c8c9176a16f4f9e433,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,DME,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/r2scan,90819c505cda662ab53eb782617d72fd675b8473fe1c01608dc5e2fbdba7ce16,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,H2,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE,4a838c371fa79c9f7288354a26ba463a53b192886897c734a29b9cd657d22d43,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,H2,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE_D3,f27cfc4b7bd71d7a3ad6139cde399181755a297dfd680a4e0f71197ee7e47bf7,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,H2,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/beef_vdw,1d1baeef02a2485b0edb5f7edddbeb3b3be4a4e72396601778115f9fbd8b9c29,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,H2,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/r2scan,9fd064ca475dc8a44073c6e7e82270a7f80e0de5218ee583281b9b8a34570865,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,H2O,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE,95aec7da1131fee0f89e9e8868447aa6d381043cd14af5c28dee48205ddb7e33,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,H2O,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE_D3,bc9c5d10257e9becd1bb961b1c8c16f73ecae8b3fc7d1ba7c38b35e08ab50e03,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE_D3/OUTCAR.gz'
