surface,molecule,functional,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,matching_slab_references,matching_molecule_references,selected
Ag100,H2O,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.24885914,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2O/r2scan,-775.64530875,-759.06403021,-15.3324194,1000,500,1,1,true
Ag100,H2S,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.78559920,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2S/PBE,-102.10876573,-90.12407184,-11.19909469,1000,500,1,1,true
Ag100,H2S,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.00200046,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2S/PBE_D3,-114.60212747,-102.4003605,-11.19976651,1000,500,1,1,true
Ag100,H2S,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.25068645,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2S/r2scan,-775.54086776,-759.06403021,-15.2261511,1000,500,1,1,true
Ag100,N2,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.62958690,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/N2/PBE,-107.38168365,-90.12407184,-16.62802491,1000,500,1,1,true
Ag100,N2,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-0.62360826,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/N2/PBE_D3,-119.65200226,-102.4003605,-16.6280335,1000,500,1,1,true
Ag100,N2,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.02017659,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/N2/r2scan,-778.27840076,-759.06403021,-18.19419396,1000,500,1,1,true
Ag100,NH3,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.03560514,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/NH3/PBE,-110.69487798,-90.12407184,-19.535201,1000,500,1,1,true
Ag100,NH3,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.15808355,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/NH3/PBE_D3,-123.0941472,-102.4003605,-19.53570315,1000,500,1,1,true
Ag100,NH3,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.50351096,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/NH3/r2scan,-781.08588851,-759.06403021,-20.51834734,1000,500,1,1,true
Ag100,NO,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.52213637,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NO/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/NO/PBE,-103.59238206,-90.12407184,-11.94617385,1000,500,1,1,true
Ag100,NO,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.67254399,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NO/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/NO/PBE_D3,-116.01909383,-102.4003605,-11.94618934,1000,500,1,1,true
Ag100,SO2,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.28067470,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/SO2/PBE,-108.44619449,-90.12407184,-17.04144795,1000,500,1,1,true
Ag100,SO2,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.65635803,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/SO2/PBE_D3,-121.10181017,-102.4003605,-17.04509164,1000,500,1,1,true
Ag100,SO2,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-2.00715127,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/SO2/r2scan,-783.93175045,-759.06403021,-22.86056897,1000,500,1,1,true
Ag100,acetaldehyde,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.69811020,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/acetaldehyde/PBE,-129.93159791,-90.12407184,-39.10941587,1000,500,1,2,true
Ag100,acetaldehyde,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-0.89424528,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/acetaldehyde/PBE_D3,-142.43287078,-102.4003605,-39.138265,1000,500,1,2,true
Ag100,acetaldehyde,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.20374345,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/acetaldehyde/r2scan,-801.94255463,-759.06403021,-41.67478097,1000,500,1,2,true
Ag100,acetic_acid,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.35827899,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetic_acid/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/acetic_acid/r2scan,-810.77281254,-759.06403021,-50.35050334,1000,500,1,2,true
