surface,molecule,functional,system,site,retry,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,complex_status,poscar_sha256,selected
Cu100,CO2,beef_vdw,CO2_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.16463912,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,-28.66158654,-10.5763226,-17.92062482,1000,500,converged,dca760f8d669f2f350a25caa2a7b5bf00495f465d6f2d8e0ff4da1834facf9f5,true
Cu100,CO2,pbe,CO2_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.0188523,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,-242.74586916,-219.76682164,-22.96019522,1000,500,converged,dca760f8d669f2f350a25caa2a7b5bf00495f465d6f2d8e0ff4da1834facf9f5,true
Cu100,CO2,r2scan,CO2_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,0.12150457,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/r2scan,-695.76398832,-670.31649401,-25.56899888,1000,500,converged,dca760f8d669f2f350a25caa2a7b5bf00495f465d6f2d8e0ff4da1834facf9f5,true
Cu100,DME,beef_vdw,CH3OCH3_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.41529782,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3OCH3/beef_vdw,-53.28474971,-10.5763226,-42.29312929,1000,500,converged,d50138e59e9cdaaf8a9a69f9b521efc4577c852ffbbd8d9d5a6fdb54ef8b129b,true
Cu100,DME,pbe,CH3OCH3_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.13396879,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE,-266.27847232,-219.76682164,-46.37768189,1000,500,converged,d50138e59e9cdaaf8a9a69f9b521efc4577c852ffbbd8d9d5a6fdb54ef8b129b,true
Cu100,DME,pbe_d3,CH3OCH3_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.43964251,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE_D3,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE_D3,-287.70369366,-240.84053253,-46.42351862,1000,500,converged,d50138e59e9cdaaf8a9a69f9b521efc4577c852ffbbd8d9d5a6fdb54ef8b129b,true
Cu100,DME,r2scan,CH3OCH3_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.04250435,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3OCH3/r2scan,-719.49958763,-670.31649401,-49.14058927,1000,500,converged,d50138e59e9cdaaf8a9a69f9b521efc4577c852ffbbd8d9d5a6fdb54ef8b129b,true
Cu100,H2O,beef_vdw,H2O_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.25060617,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2O/beef_vdw,-23.33024558,-10.5763226,-12.50331681,1000,500,converged,81d2d101e602b472102cc48080ce2b478c28d7b797b75c992f210a3578fd7a32,true
Cu100,H2O,pbe,H2O_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.22711798,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2O/PBE,-234.21171479,-219.76682164,-14.21777517,1000,500,converged,81d2d101e602b472102cc48080ce2b478c28d7b797b75c992f210a3578fd7a32,true
Cu100,H2O,pbe_d3,H2O_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.39509325,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE_D3,/pscratch/sd/j/jcho5/VASP/vasp_mol/H2O/PBE_D3,-255.45351356,-240.84053253,-14.21788778,1000,500,converged,81d2d101e602b472102cc48080ce2b478c28d7b797b75c992f210a3578fd7a32,true
