surface,molecule,functional,mode,previous_eV,current_eV,change,current_status
Ag100,acetaldehyde,pbe,SPE,-0.698,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetaldehyde,pbe_d3,relaxed,-1.031,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetaldehyde,pbe_d3,SPE,-0.894,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetaldehyde,r2scan,relaxed,-1.32,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetaldehyde,r2scan,SPE,-1.204,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetaldehyde,beef_vdw,relaxed,-25.176,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,acetaldehyde,beef_vdw,SPE,-25.093,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetic_acid,r2scan,relaxed,-1.464,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetic_acid,r2scan,SPE,-1.358,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetic_acid,beef_vdw,relaxed,-25.282,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,acetic_acid,beef_vdw,SPE,-25.219,,withheld_unverified_or_incompatible,potential mismatch
Ag100,ethane,pbe,relaxed,-1.18,-0.023,updated,available
Ag100,ethane,pbe,SPE,-0.02,-0.021,updated,available
Ag100,ethane,pbe_d3,relaxed,-1.48,-0.26,updated,available
Ag100,ethane,pbe_d3,SPE,-0.022,-0.007,updated,available
Ag100,ethane,r2scan,relaxed,-2.15,,withheld_unverified_or_incompatible,refs unverified
Ag100,ethane,r2scan,SPE,0.136,0.13,updated,available
Ag100,ethane,beef_vdw,relaxed,-44.37,-0.283,updated,available
Ag100,ethane,beef_vdw,SPE,-0.186,-0.189,updated,available
Ag100,ethanol,pbe,relaxed,-1.31,-0.154,updated,available
Ag100,ethanol,pbe,SPE,-0.149,-0.15,updated,available
Ag100,ethanol,pbe_d3,relaxed,-1.66,-0.448,updated,available
Ag100,ethanol,pbe_d3,SPE,-0.237,-0.224,updated,available
Ag100,ethanol,r2scan,relaxed,-2.25,,withheld_unverified_or_incompatible,refs unverified
Ag100,ethanol,r2scan,SPE,-0.085,-0.088,updated,available
Ag100,ethanol,beef_vdw,relaxed,-44.544,-0.456,updated,available
Ag100,ethanol,beef_vdw,SPE,-0.354,-0.352,updated,available
Ag100,ethene,pbe,relaxed,-0.682,,withheld_unverified_or_incompatible,refs unverified
Ag100,ethene,pbe,SPE,-0.021,,withheld_unverified_or_incompatible,potential mismatch
Ag100,ethene,pbe_d3,relaxed,-1.059,,withheld_unverified_or_incompatible,refs unverified
Ag100,ethene,pbe_d3,SPE,-0.103,,withheld_unverified_or_incompatible,potential mismatch
Ag100,ethene,r2scan,relaxed,-1.27,,withheld_unverified_or_incompatible,refs unverified
Ag100,ethene,r2scan,SPE,0.06,,withheld_unverified_or_incompatible,potential mismatch
Ag100,ethene,beef_vdw,relaxed,-25.121,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,ethene,beef_vdw,SPE,-0.182,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formaldehyde,pbe,relaxed,-0.719,,withheld_unverified_or_incompatible,refs unverified
Ag100,formaldehyde,pbe,SPE,-0.704,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formaldehyde,pbe_d3,relaxed,-0.932,,withheld_unverified_or_incompatible,refs unverified
Ag100,formaldehyde,pbe_d3,SPE,-0.82,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formaldehyde,r2scan,SPE,-1.182,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formaldehyde,beef_vdw,relaxed,-25.106,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,formate,pbe,relaxed,-3.62,,withheld_unverified_or_incompatible,refs unverified
Ag100,formate,pbe,SPE,-3.608,,withheld_unverified_or_incompatible,refs unverified
Ag100,formate,pbe_d3,relaxed,-3.97,,withheld_unverified_or_incompatible,refs unverified
Ag100,formate,pbe_d3,SPE,-3.848,,withheld_unverified_or_incompatible,refs unverified
Ag100,formate,r2scan,relaxed,-4.78,,withheld_unverified_or_incompatible,refs unverified
Ag100,formate,r2scan,SPE,-4.657,,withheld_unverified_or_incompatible,refs unverified
Ag100,formic_acid,pbe,relaxed,-0.833,,withheld_unverified_or_incompatible,refs unverified
Ag100,formic_acid,pbe,SPE,-0.813,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formic_acid,pbe_d3,relaxed,-1.145,,withheld_unverified_or_incompatible,refs unverified
Ag100,formic_acid,pbe_d3,SPE,-1.026,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formic_acid,r2scan,relaxed,-1.43,,withheld_unverified_or_incompatible,refs unverified
Ag100,formic_acid,r2scan,SPE,-1.321,,withheld_unverified_or_incompatible,potential mismatch
Ag100,formic_acid,beef_vdw,relaxed,-25.221,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,glycerol,pbe,relaxed,-1.35,,withheld_unverified_or_incompatible,refs unverified
Ag100,glycerol,pbe,SPE,-0.117,-0.118,updated,available
Ag100,glycerol,pbe_d3,relaxed,-1.94,,withheld_unverified_or_incompatible,refs unverified
Ag100,glycerol,pbe_d3,SPE,-0.43,-0.415,updated,available
Ag100,glycerol,r2scan,relaxed,-2.55,,withheld_unverified_or_incompatible,refs unverified
Ag100,glycerol,r2scan,SPE,-0.188,-0.195,updated,available
Ag100,glycerol,beef_vdw,SPE,-0.58,,withheld_unverified_or_incompatible,refs unverified
Ag100,isopropanol,pbe,relaxed,-1.32,,withheld_unverified_or_incompatible,refs unverified
Ag100,isopropanol,pbe,SPE,-0.779,,withheld_unverified_or_incompatible,refs unverified
Ag100,isopropanol,pbe_d3,relaxed,-1.76,,withheld_unverified_or_incompatible,refs unverified
Ag100,isopropanol,pbe_d3,SPE,-1.072,,withheld_unverified_or_incompatible,refs unverified
Ag100,isopropanol,r2scan,relaxed,-2.41,,withheld_unverified_or_incompatible,refs unverified
Ag100,isopropanol,r2scan,SPE,-1.306,,withheld_unverified_or_incompatible,refs unverified
Ag100,methane,pbe,relaxed,-0.636,,withheld_unverified_or_incompatible,refs unverified
Ag100,methane,pbe,SPE,-0.63,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methane,pbe_d3,relaxed,-0.801,,withheld_unverified_or_incompatible,refs unverified
Ag100,methane,pbe_d3,SPE,-0.701,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methane,r2scan,relaxed,-1.149,,withheld_unverified_or_incompatible,refs unverified
Ag100,methane,r2scan,SPE,-1.057,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methane,beef_vdw,relaxed,-24.994,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,methane,beef_vdw,SPE,-24.944,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methanol,pbe,relaxed,-0.789,,withheld_unverified_or_incompatible,refs unverified
Ag100,methanol,pbe,SPE,-0.777,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methanol,pbe_d3,relaxed,-1.076,,withheld_unverified_or_incompatible,refs unverified
Ag100,methanol,pbe_d3,SPE,-0.923,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methanol,r2scan,relaxed,-1.38,,withheld_unverified_or_incompatible,refs unverified
Ag100,methanol,r2scan,SPE,-1.267,,withheld_unverified_or_incompatible,potential mismatch
Ag100,methanol,beef_vdw,relaxed,-25.214,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,methanol,beef_vdw,SPE,-25.139,,withheld_unverified_or_incompatible,potential mismatch
Ag100,propane,pbe,relaxed,-1.18,,withheld_unverified_or_incompatible,refs unverified
Ag100,propane,pbe,SPE,-0.633,,withheld_unverified_or_incompatible,refs unverified
Ag100,propane,pbe_d3,relaxed,-1.58,,withheld_unverified_or_incompatible,refs unverified
Ag100,propane,pbe_d3,SPE,-0.881,,withheld_unverified_or_incompatible,refs unverified
Ag100,propane,r2scan,relaxed,-2.22,,withheld_unverified_or_incompatible,refs unverified
Ag100,propane,r2scan,SPE,-1.104,,withheld_unverified_or_incompatible,refs unverified
Ag100,propanol,pbe,relaxed,-1.33,,withheld_unverified_or_incompatible,refs unverified
Ag100,propanol,pbe,SPE,-0.788,,withheld_unverified_or_incompatible,refs unverified
Ag100,propanol,pbe_d3,relaxed,-1.7,,withheld_unverified_or_incompatible,refs unverified
Ag100,propanol,pbe_d3,SPE,-1.134,,withheld_unverified_or_incompatible,refs unverified
Ag100,propanol,r2scan,relaxed,-2.39,,withheld_unverified_or_incompatible,refs unverified
Ag100,propanol,r2scan,SPE,-1.337,,withheld_unverified_or_incompatible,refs unverified
Ag100,propene,pbe,relaxed,-1.23,,withheld_unverified_or_incompatible,refs unverified
Ag100,propene,pbe,SPE,-0.693,,withheld_unverified_or_incompatible,refs unverified
Ag100,propene,pbe_d3,relaxed,-1.77,,withheld_unverified_or_incompatible,refs unverified
Ag100,propene,pbe_d3,SPE,-0.946,,withheld_unverified_or_incompatible,refs unverified
Ag100,propene,r2scan,relaxed,-2.27,,withheld_unverified_or_incompatible,refs unverified
Ag100,propene,r2scan,SPE,-1.185,,withheld_unverified_or_incompatible,refs unverified
Ag110,CH3,pbe,relaxed,-1.595,,withheld_unverified_or_incompatible,refs unverified
Ag110,CH3,pbe,SPE,-1.583,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CH3,pbe_d3,relaxed,-1.792,,withheld_unverified_or_incompatible,refs unverified
Ag110,CH3,pbe_d3,SPE,-1.763,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CH3,r2scan,relaxed,-1.861,,withheld_unverified_or_incompatible,refs unverified
Ag110,CH3,r2scan,SPE,-1.793,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CH3,beef_vdw,relaxed,-17.658,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,CH3,beef_vdw,SPE,-17.605,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CO,pbe,relaxed,-0.755,,withheld_unverified_or_incompatible,refs unverified
Ag110,CO,pbe,SPE,-0.737,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CO,pbe_d3,relaxed,-0.944,,withheld_unverified_or_incompatible,refs unverified
Ag110,CO,pbe_d3,SPE,-0.909,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CO,r2scan,relaxed,-1.143,,withheld_unverified_or_incompatible,refs unverified
Ag110,CO,r2scan,SPE,-1.072,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CO,beef_vdw,relaxed,-16.792,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,CO2,pbe,relaxed,-0.424,,withheld_unverified_or_incompatible,refs unverified
Ag110,CO2,pbe,SPE,-0.421,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CO2,r2scan,relaxed,-0.802,,withheld_unverified_or_incompatible,refs unverified
Ag110,CO2,r2scan,SPE,-0.769,,withheld_unverified_or_incompatible,potential mismatch
Ag110,CO2,beef_vdw,relaxed,-16.756,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,DME,r2scan,relaxed,-1.018,,withheld_unverified_or_incompatible,refs unverified
Ag110,DME,r2scan,SPE,-0.837,,withheld_unverified_or_incompatible,potential mismatch
Ag110,DME,beef_vdw,relaxed,-16.981,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,DME,beef_vdw,SPE,-16.899,,withheld_unverified_or_incompatible,potential mismatch
Ag110,H2,pbe,relaxed,-0.36,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2,pbe,SPE,-0.36,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2,pbe_d3,relaxed,-0.43,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2,pbe_d3,SPE,-0.42,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2,r2scan,relaxed,-0.69,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2,r2scan,SPE,-0.657,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2O,pbe,relaxed,-0.649,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2O,pbe,SPE,-0.644,,withheld_unverified_or_incompatible,potential mismatch
Ag110,H2O,pbe_d3,relaxed,-0.832,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2O,pbe_d3,SPE,-0.819,,withheld_unverified_or_incompatible,potential mismatch
Ag110,H2O,r2scan,relaxed,-1.07,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2O,r2scan,SPE,-1.021,,withheld_unverified_or_incompatible,potential mismatch
Ag110,H2S,pbe,relaxed,-0.629,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2S,pbe,SPE,-0.609,,withheld_unverified_or_incompatible,potential mismatch
Ag110,H2S,pbe_d3,relaxed,-0.963,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2S,pbe_d3,SPE,-0.926,,withheld_unverified_or_incompatible,potential mismatch
Ag110,H2S,r2scan,relaxed,-1.052,,withheld_unverified_or_incompatible,refs unverified
Ag110,H2S,r2scan,SPE,-0.992,,withheld_unverified_or_incompatible,potential mismatch
