name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
"Au100_1,6-anhydroglucofuranose",Au100,"1,6-anhydroglucofuranose",64,17,0.514,r2scan,,,,no validated size-matched selection,
Au100_1-butanol,Au100,1-butanol,64,15,0.283,r2scan,,,,no validated size-matched selection,
Au100_1-butene,Au100,1-butene,64,12,0.573,r2scan,,,,no validated size-matched selection,
Au100_1-pentene,Au100,1-pentene,64,15,0.585,r2scan,,,,no validated size-matched selection,
Au100_2-butanol,Au100,2-butanol,64,15,0.387,r2scan,,,,no validated size-matched selection,
Au100_2-butene,Au100,2-butene,64,12,0.681,r2scan,,,,no validated size-matched selection,
Au100_2-ethylphenol,Au100,2-ethylphenol,64,19,0.452,r2scan,,,,no validated size-matched selection,
Au100_2-furanone,Au100,2-furanone,64,10,0.578,r2scan,,,,no validated size-matched selection,
Au100_2-heptanone,Au100,2-heptanone,64,22,0.565,r2scan,,,,no validated size-matched selection,
Au100_2-hexanone,Au100,2-hexanone,64,19,0.592,r2scan,,,,no validated size-matched selection,
Au100_2-pentanone,Au100,2-pentanone,64,16,0.537,r2scan,,,,no validated size-matched selection,
Au100_3-MTHF,Au100,3-MTHF,64,16,0.532,r2scan,,,,no validated size-matched selection,
Au100_3-hydroxypropionic_acid,Au100,3-hydroxypropionic_acid,64,12,0.641,r2scan,,,,no validated size-matched selection,
Au100_4-methylguaiacol,Au100,4-methylguaiacol,64,20,0.605,r2scan,,,,no validated size-matched selection,
Au100_5-HMF,Au100,5-HMF,64,15,-0.522,r2scan,,,,no validated size-matched selection,
Au100_5-heptanone,Au100,5-heptanone,64,22,0.663,r2scan,,,,no validated size-matched selection,
Au100_5-methylfurfural,Au100,5-methylfurfural,64,14,0.658,r2scan,,,,no validated size-matched selection,
Au100_CH4,Au100,CH4,64,5,0.219,r2scan,,,,no validated size-matched selection,
Au100_CO,Au100,CO,64,2,-0.405,r2scan,,,,no validated size-matched selection,
Au100_CO2,Au100,CO2,64,3,0.194,r2scan,,,,no validated size-matched selection,
