surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Pt110,isopropanol,beef_vdw,SPE,0.379,0.38025440,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propane,pbe,SPE,0.623,0.62416737,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propane,pbe_d3,SPE,-0.119,-0.11502459,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propane,beef_vdw,SPE,0.486,0.48713688,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propanol,pbe,SPE,0.717,0.71755661,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propanol,pbe_d3,SPE,-0.120,-0.11549942,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propanol,beef_vdw,SPE,0.587,0.58833754,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propene,pbe,SPE,-0.470,-0.46886706,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propene,pbe_d3,SPE,-1.269,-1.26436958,Kestrel: no usable Perlmutter binding-energy candidate
Pt110,propene,beef_vdw,SPE,-0.452,-0.45022268,Kestrel: no usable Perlmutter binding-energy candidate
Pt111,ethanol,pbe,SPE,0.373,-0.17462245,Perlmutter first
Pt111,ethanol,pbe_d3,SPE,0.146,-0.66026897,Perlmutter first
Pt111,ethene,pbe,SPE,-0.892,-0.62053023,Perlmutter first
Pt111,ethene,pbe_d3,SPE,-1.041,-1.05834618,Perlmutter first
Rh100,NO,pbe,SPE,,-2.95071867,Perlmutter first
Rh100,NO,pbe_d3,SPE,,-3.11743638,Perlmutter first
Rh100,SO2,pbe,SPE,,-2.04530008,Perlmutter first
Rh100,SO2,pbe_d3,SPE,,-2.50367861,Perlmutter first
Rh100,formic_acid,pbe,SPE,,-0.46486212,Perlmutter first
Rh100,formic_acid,pbe_d3,SPE,,-0.77320173,Perlmutter first
Rh110,N2,pbe,SPE,,-0.79241088,Perlmutter first
Rh110,NH3,pbe,SPE,,-0.92055289,Perlmutter first
Rh110,NH3,pbe_d3,SPE,,-1.18952554,Perlmutter first
Rh110,NO,pbe,SPE,,-3.08860574,Perlmutter first
Rh110,NO,pbe_d3,SPE,,-3.29987840,Perlmutter first
Rh110,SO2,pbe,SPE,,-2.05561661,Perlmutter first
Rh110,SO2,pbe_d3,SPE,,-2.56841695,Perlmutter first
Rh110,formic_acid,pbe,SPE,,-0.51012619,Perlmutter first
Rh110,formic_acid,pbe_d3,SPE,,-0.85120005,Perlmutter first
Rh111,N2,pbe,SPE,,-0.41102020,Perlmutter first
