surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Pt110,NH3,beef_vdw,SPE,,-23.64696726,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,NO,pbe,SPE,,-2.61324368,Perlmutter first
Pt110,NO,pbe_d3,SPE,,-2.86133488,Perlmutter first
Pt110,NO,beef_vdw,SPE,,-31.48933696,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,SO2,pbe,SPE,,-1.76593046,Perlmutter first
Pt110,SO2,pbe_d3,SPE,,-2.36768368,Perlmutter first
Pt110,SO2,r2scan,SPE,,-2.23367164,Perlmutter first
Pt110,ethane,r2scan,SPE,0.163,-0.01807217,Perlmutter first
Pt110,ethanol,r2scan,SPE,0.347,-0.58388767,Perlmutter first
Pt110,ethene,pbe,SPE,-1.088,-1.56920746,Perlmutter first
Pt110,ethene,pbe_d3,SPE,-1.634,-2.10321470,Perlmutter first
Pt110,ethene,r2scan,SPE,-1.424,-1.90765048,Perlmutter first
Pt110,ethene,beef_vdw,SPE,-0.950,-24.04229981,Perlmutter energy review retained; Kestrel structure equivalence unverified
Pt110,formaldehyde,pbe,SPE,,-1.34930273,Perlmutter first
Pt110,formaldehyde,pbe_d3,SPE,,-1.78566544,Perlmutter first
Pt110,formaldehyde,r2scan,SPE,,-1.65250096,Perlmutter first
Pt110,formaldehyde,beef_vdw,SPE,,-23.63772167,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,formic_acid,pbe,SPE,,-0.74812993,Perlmutter first
Pt110,formic_acid,pbe_d3,SPE,,-1.20759693,Perlmutter first
Pt110,formic_acid,r2scan,SPE,,-1.05679338,Perlmutter first
Pt110,formic_acid,beef_vdw,SPE,,-23.17542630,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt110,methane,pbe,SPE,,-0.21736207,Perlmutter first
