name,surface,molecule,category,min_dist,pair,pair_labels,min_dist_heavy,pair_heavy,n_metal,n_mol,mol_elems,png
Ag111_isopropanol,Ag111,isopropanol,reasonable,2.798,Ag-O,Ag32...O1,2.798,Ag-O,36,12,CHO,Ag111_isopropanol.png
Ag111_itaconic_acid,Ag111,itaconic_acid,borderline,3.201,Ag-H,Ag30...H1,3.507,Ag-O,36,15,CHO,Ag111_itaconic_acid.png
Ag111_lactic_acid,Ag111,lactic_acid,reasonable,2.804,Ag-H,Ag33...H6,2.843,Ag-O,36,12,CHO,Ag111_lactic_acid.png
Ag111_levoglucosan,Ag111,levoglucosan,reasonable,2.999,Ag-H,Ag33...H4,3.707,Ag-O,36,21,CHO,Ag111_levoglucosan.png
Ag111_levulinic_acid,Ag111,levulinic_acid,reasonable,2.651,Ag-O,Ag35...O2,2.651,Ag-O,36,16,CHO,Ag111_levulinic_acid.png
Ag111_malic_acid,Ag111,malic_acid,borderline,3.304,Ag-O,Ag34...O3,3.304,Ag-O,36,15,CHO,Ag111_malic_acid.png
Ag111_malonic_acid,Ag111,malonic_acid,detached,3.634,Ag-H,Ag31...H4,3.747,Ag-O,36,11,CHO,Ag111_malonic_acid.png
Ag111_methane,Ag111,methane,borderline,3.46,Ag-H,Ag31...H2,4.0,Ag-C,36,5,CH,Ag111_methane.png
Ag111_methanol,Ag111,methanol,reasonable,2.755,Ag-O,Ag35...O1,2.755,Ag-O,36,6,CHO,Ag111_methanol.png
Ag111_methyl_formate,Ag111,methyl_formate,reasonable,2.723,Ag-O,Ag31...O2,2.723,Ag-O,36,8,CHO,Ag111_methyl_formate.png
Ag111_methylcyclopentenolone,Ag111,methylcyclopentenolone,detached,3.915,Ag-H,Ag33...H2,4.692,Ag-C,36,16,CHO,Ag111_methylcyclopentenolone.png
Ag111_methylethylketone,Ag111,methylethylketone,reasonable,2.631,Ag-O,Ag35...O1,2.631,Ag-O,36,13,CHO,Ag111_methylethylketone.png
Ag111_methylmethacrylate,Ag111,methylmethacrylate,borderline,3.516,Ag-H,Ag33...H5,3.856,Ag-C,36,15,CHO,Ag111_methylmethacrylate.png
Ag111_muconic_acid,Ag111,muconic_acid,reasonable,2.648,Ag-O,Ag32...O3,2.648,Ag-O,36,16,CHO,Ag111_muconic_acid.png
Ag111_naphthalene,Ag111,naphthalene,borderline,3.346,Ag-H,Ag29...H4,4.14,Ag-C,36,18,CH,Ag111_naphthalene.png
Ag111_octane,Ag111,octane,borderline,3.165,Ag-H,Ag34...H7,4.203,Ag-C,36,26,CH,Ag111_octane.png
Ag111_octene,Ag111,octene,borderline,3.268,Ag-H,Ag33...H7,4.058,Ag-C,36,24,CH,Ag111_octene.png
Ag111_oxalic_acid,Ag111,oxalic_acid,borderline,3.545,Ag-O,Ag32...O2,3.545,Ag-O,36,8,CHO,Ag111_oxalic_acid.png
Ag111_pentane,Ag111,pentane,borderline,3.519,Ag-H,Ag31...H6,4.186,Ag-C,36,17,CH,Ag111_pentane.png
Ag111_pentanol,Ag111,pentanol,reasonable,2.983,Ag-O,Ag31...O1,2.983,Ag-O,36,18,CHO,Ag111_pentanol.png
Ag111_phenol,Ag111,phenol,reasonable,2.951,Ag-H,Ag33...H1,3.83,Ag-O,36,13,CHO,Ag111_phenol.png
Ag111_propanal,Ag111,propanal,reasonable,2.872,Ag-O,Ag32...O1,2.872,Ag-O,36,10,CHO,Ag111_propanal.png
Ag111_propane,Ag111,propane,borderline,3.1,Ag-H,Ag32...H4,4.095,Ag-C,36,11,CH,Ag111_propane.png
Ag111_propanol,Ag111,propanol,reasonable,2.774,Ag-O,Ag55...O1,2.774,Ag-O,64,12,CHO,Ag111_propanol.png
Ag111_propene,Ag111,propene,borderline,3.58,Ag-H,Ag32...H5,3.603,Ag-C,36,9,CH,Ag111_propene.png
Ag111_propionic_acid,Ag111,propionic_acid,reasonable,2.638,Ag-O,Ag34...O1,2.638,Ag-O,36,11,CHO,Ag111_propionic_acid.png
Ag111_propyl_syringol,Ag111,propyl_syringol,borderline,3.168,Ag-H,Ag34...H12,3.401,Ag-O,36,30,CHO,Ag111_propyl_syringol.png
Ag111_pyrrole,Ag111,pyrrole,borderline,3.297,Ag-H,Ag35...H4,3.595,Ag-C,36,10,CHN,Ag111_pyrrole.png
Ag111_pyruvic_acid,Ag111,pyruvic_acid,reasonable,2.669,Ag-O,Ag35...O2,2.669,Ag-O,36,10,CHO,Ag111_pyruvic_acid.png
Ag111_sorbitol,Ag111,sorbitol,borderline,3.448,Ag-O,Ag35...O3,3.448,Ag-O,36,26,CHO,Ag111_sorbitol.png
Ag111_styrene,Ag111,styrene,borderline,3.453,Ag-H,Ag35...H8,3.971,Ag-C,36,16,CH,Ag111_styrene.png
Ag111_succinic_acid,Ag111,succinic_acid,borderline,3.399,Ag-H,Ag32...H3,4.025,Ag-O,36,14,CHO,Ag111_succinic_acid.png
Ag111_syringaldehyde,Ag111,syringaldehyde,detached,3.788,Ag-H,Ag33...H7,4.557,Ag-C,36,23,CHO,Ag111_syringaldehyde.png
Ag111_syringol,Ag111,syringol,borderline,3.298,Ag-H,Ag30...H10,3.446,Ag-O,36,21,CHO,Ag111_syringol.png
Ag111_tartaric_acid,Ag111,tartaric_acid,borderline,3.317,Ag-O,Ag29...O2,3.317,Ag-O,36,16,CHO,Ag111_tartaric_acid.png
Ag111_thiophene,Ag111,thiophene,borderline,3.064,Ag-S,Ag34...S1,3.064,Ag-S,36,9,CHS,Ag111_thiophene.png
Ag111_toluene,Ag111,toluene,borderline,3.301,Ag-H,Ag34...H6,3.909,Ag-C,36,15,CH,Ag111_toluene.png
Ag111_valeraldehyde,Ag111,valeraldehyde,reasonable,2.956,Ag-O,Ag29...O1,2.956,Ag-O,36,16,CHO,Ag111_valeraldehyde.png
Ag111_valeric_acid,Ag111,valeric_acid,reasonable,2.71,Ag-O,Ag35...O1,2.71,Ag-O,36,17,CHO,Ag111_valeric_acid.png
Ag111_vanillin,Ag111,vanillin,detached,4.339,Ag-H,Ag33...H6,4.503,Ag-C,36,19,CHO,Ag111_vanillin.png
Ag111_xylene,Ag111,xylene,detached,3.859,Ag-H,Ag34...H4,4.431,Ag-C,36,18,CH,Ag111_xylene.png
Ag111_xylitol,Ag111,xylitol,detached,3.713,Ag-H,Ag34...H7,3.785,Ag-O,36,22,CHO,Ag111_xylitol.png
"Au100_1,6-anhydroglucofuranose",Au100,"1,6-anhydroglucofuranose",reasonable,2.93,Au-H,Au60...H1,3.736,Au-O,64,17,CHO,"Au100_1,6-anhydroglucofuranose.png"
Au100_1-butanol,Au100,1-butanol,borderline,3.072,Au-H,Au55...H10,3.46,Au-O,64,15,CHO,Au100_1-butanol.png
Au100_1-butene,Au100,1-butene,reasonable,2.916,Au-C,Au59...C4,2.916,Au-C,64,12,CH,Au100_1-butene.png
Au100_1-pentene,Au100,1-pentene,borderline,3.084,Au-H,Au60...H9,3.292,Au-C,64,15,CH,Au100_1-pentene.png
Au100_2-butanol,Au100,2-butanol,reasonable,2.934,Au-H,Au55...H5,3.147,Au-O,64,15,CHO,Au100_2-butanol.png
Au100_2-butene,Au100,2-butene,borderline,3.034,Au-H,Au57...H4,3.701,Au-C,64,12,CH,Au100_2-butene.png
Au100_2-ethylphenol,Au100,2-ethylphenol,reasonable,2.622,Au-H,Au58...H10,3.603,Au-O,64,19,CHO,Au100_2-ethylphenol.png
Au100_2-furanone,Au100,2-furanone,borderline,3.231,Au-H,Au63...H1,3.472,Au-C,64,10,CHO,Au100_2-furanone.png
Au100_2-heptanone,Au100,2-heptanone,reasonable,2.916,Au-H,Au59...H9,3.037,Au-O,64,22,CHO,Au100_2-heptanone.png
Au100_2-hexanone,Au100,2-hexanone,reasonable,2.947,Au-O,Au54...O1,2.947,Au-O,64,19,CHO,Au100_2-hexanone.png
Au100_2-pentanone,Au100,2-pentanone,reasonable,2.961,Au-O,Au63...O1,2.961,Au-O,64,16,CHO,Au100_2-pentanone.png
Au100_3-MTHF,Au100,3-MTHF,reasonable,2.935,Au-H,Au58...H2,3.602,Au-O,64,16,CHO,Au100_3-MTHF.png
Au100_3-hydroxypropionic_acid,Au100,3-hydroxypropionic_acid,reasonable,2.671,Au-H,Au57...H6,3.076,Au-O,64,12,CHO,Au100_3-hydroxypropionic_acid.png
Au100_4-methylguaiacol,Au100,4-methylguaiacol,borderline,3.092,Au-H,Au57...H6,3.619,Au-O,64,20,CHO,Au100_4-methylguaiacol.png
Au100_5-HMF,Au100,5-HMF,reasonable,2.953,Au-H,Au59...H5,3.265,Au-C,64,15,CHO,Au100_5-HMF.png
Au100_5-heptanone,Au100,5-heptanone,borderline,3.151,Au-O,Au56...O1,3.151,Au-O,64,22,CHO,Au100_5-heptanone.png
Au100_5-methylfurfural,Au100,5-methylfurfural,borderline,3.049,Au-H,Au56...H5,3.319,Au-O,64,14,CHO,Au100_5-methylfurfural.png
Au100_CH2,Au100,CH2,reasonable,2.074,Au-C,Au54...C1,2.074,Au-C,64,3,CH,Au100_CH2.png
Au100_CH3,Au100,CH3,reasonable,2.098,Au-C,Au57...C1,2.098,Au-C,64,4,CH,Au100_CH3.png
Au100_CH4,Au100,CH4,borderline,3.194,Au-H,Au59...H1,3.473,Au-C,64,5,CH,Au100_CH4.png
Au100_CO,Au100,CO,reasonable,2.125,Au-C,Au58...C1,2.125,Au-C,64,2,CO,Au100_CO.png
Au100_CO2,Au100,CO2,borderline,3.508,Au-O,Au54...O2,3.508,Au-O,64,3,CO,Au100_CO2.png
Au100_D-fructofuranose,Au100,D-fructofuranose,reasonable,2.677,Au-H,Au59...H1,3.644,Au-O,64,20,CHO,Au100_D-fructofuranose.png
Au100_D-xylopyranose,Au100,D-xylopyranose,reasonable,2.695,Au-H,Au55...H9,3.661,Au-C,64,20,CHO,Au100_D-xylopyranose.png
Au100_DME,Au100,DME,borderline,3.041,Au-O,Au59...O1,3.041,Au-O,64,9,CHO,Au100_DME.png
Au100_DMSO,Au100,DMSO,reasonable,2.482,Au-S,Au55...S1,2.482,Au-S,64,10,CHOS,Au100_DMSO.png
Au100_H2,Au100,H2,reasonable,2.605,Au-H,Au55...H2,,,64,2,H,Au100_H2.png
Au100_H2O,Au100,H2O,reasonable,2.822,Au-H,Au57...H1,3.686,Au-O,64,3,HO,Au100_H2O.png
Au100_H2S,Au100,H2S,reasonable,2.592,Au-H,Au64...H2,3.396,Au-S,64,3,HS,Au100_H2S.png
Au100_HCO,Au100,HCO,reasonable,2.93,Au-H,Au57...H1,3.085,Au-O,64,4,CHO,Au100_HCO.png
Au100_N2,Au100,N2,detached,4.225,Au-N,Au58...N1,4.225,Au-N,64,2,N,Au100_N2.png
Au100_NH3,Au100,NH3,reasonable,2.365,Au-N,Au58...N1,2.365,Au-N,64,4,HN,Au100_NH3.png
Au100_NO,Au100,NO,reasonable,2.127,Au-N,Au63...N1,2.127,Au-N,64,2,NO,Au100_NO.png
Au100_NO2,Au100,NO2,reasonable,2.34,Au-O,Au58...O2,2.34,Au-O,64,3,NO,Au100_NO2.png
Au100_O2,Au100,O2,detached,4.039,Au-O,Au55...O2,4.039,Au-O,64,2,O,Au100_O2.png
Au100_SO2,Au100,SO2,reasonable,2.573,Au-S,Au59...S1,2.573,Au-S,64,3,OS,Au100_SO2.png
Au100_THF,Au100,THF,borderline,3.501,Au-O,Au54...O1,3.501,Au-O,64,13,CHO,Au100_THF.png
Au100_acetal,Au100,acetal,borderline,3.039,Au-H,Au51...H1,4.117,Au-C,64,22,CHO,Au100_acetal.png
Au100_acetaldehyde,Au100,acetaldehyde,reasonable,2.802,Au-H,Au63...H3,2.845,Au-O,64,7,CHO,Au100_acetaldehyde.png
Au100_acetic_acid,Au100,acetic_acid,reasonable,2.664,Au-H,Au59...H4,2.724,Au-O,64,8,CHO,Au100_acetic_acid.png
Au100_acetone,Au100,acetone,reasonable,2.661,Au-O,Au55...O1,2.661,Au-O,64,10,CHO,Au100_acetone.png
Au100_acetophenone,Au100,acetophenone,borderline,3.094,Au-O,Au57...O1,3.094,Au-O,64,17,CHO,Au100_acetophenone.png
Au100_alpha-D-glucopyranose,Au100,alpha-D-glucopyranose,reasonable,2.863,Au-H,Au50...H10,3.704,Au-O,64,24,CHO,Au100_alpha-D-glucopyranose.png
Au100_angelica_lactone,Au100,angelica_lactone,reasonable,2.664,Au-H,Au56...H6,3.763,Au-C,64,13,CHO,Au100_angelica_lactone.png
Au100_aniline,Au100,aniline,reasonable,2.943,Au-H,Au64...H1,3.859,Au-N,64,14,CHN,Au100_aniline.png
Au100_benzaldehyde,Au100,benzaldehyde,borderline,3.039,Au-H,Au54...H2,3.092,Au-O,64,14,CHO,Au100_benzaldehyde.png
Au100_benzene,Au100,benzene,borderline,3.081,Au-H,Au59...H4,3.484,Au-C,64,12,CH,Au100_benzene.png
Au100_butadiene,Au100,butadiene,reasonable,2.25,Au-C,Au58...C1,2.25,Au-C,64,10,CH,Au100_butadiene.png
Au100_butanal,Au100,butanal,borderline,3.075,Au-H,Au56...H4,3.21,Au-O,64,13,CHO,Au100_butanal.png
Au100_butane,Au100,butane,borderline,3.122,Au-H,Au58...H6,3.864,Au-C,64,14,CH,Au100_butane.png
Au100_butyric_acid,Au100,butyric_acid,reasonable,2.523,Au-H,Au59...H8,2.642,Au-O,64,14,CHO,Au100_butyric_acid.png
Au100_caproic_acid,Au100,caproic_acid,reasonable,2.57,Au-H,Au56...H12,2.776,Au-O,64,20,CHO,Au100_caproic_acid.png
Au100_carbonate,Au100,carbonate,reasonable,2.264,Au-O,Au60...O2,2.264,Au-O,64,4,CO,Au100_carbonate.png
Au100_citric_acid,Au100,citric_acid,reasonable,2.608,Au-H,Au60...H1,3.164,Au-O,64,21,CHO,Au100_citric_acid.png
Au100_cyclobutanone,Au100,cyclobutanone,borderline,3.001,Au-H,Au64...H2,4.031,Au-O,64,11,CHO,Au100_cyclobutanone.png
Au100_cyclohexanone,Au100,cyclohexanone,reasonable,2.969,Au-O,Au55...O1,2.969,Au-O,64,17,CHO,Au100_cyclohexanone.png
Au100_cyclopentanone,Au100,cyclopentanone,reasonable,2.901,Au-H,Au59...H7,3.035,Au-O,64,14,CHO,Au100_cyclopentanone.png
Au100_diethyl_ether,Au100,diethyl_ether,borderline,3.131,Au-H,Au51...H9,3.944,Au-C,64,15,CHO,Au100_diethyl_ether.png
Au100_dimethyl_succinate,Au100,dimethyl_succinate,reasonable,2.823,Au-H,Au62...H4,3.921,Au-O,64,17,CHO,Au100_dimethyl_succinate.png
Au100_ethane,Au100,ethane,reasonable,2.824,Au-H,Au59...H1,3.703,Au-C,64,8,CH,Au100_ethane.png
Au100_ethanol,Au100,ethanol,reasonable,2.901,Au-O,Au55...O1,2.901,Au-O,64,9,CHO,Au100_ethanol.png
Au100_ethene,Au100,ethene,borderline,3.178,Au-C,Au59...C1,3.178,Au-C,64,6,CH,Au100_ethene.png
Au100_ethyl_acetate,Au100,ethyl_acetate,borderline,3.048,Au-H,Au60...H1,3.111,Au-O,64,14,CHO,Au100_ethyl_acetate.png
Au100_ethylene,Au100,ethylene,borderline,3.077,Au-C,Au54...C2,3.077,Au-C,64,6,CH,Au100_ethylene.png
Au100_ethylene_glycol,Au100,ethylene_glycol,reasonable,2.745,Au-H,Au55...H1,3.132,Au-O,64,10,CHO,Au100_ethylene_glycol.png
Au100_eugenol,Au100,eugenol,borderline,3.429,Au-H,Au59...H8,3.634,Au-O,64,24,CHO,Au100_eugenol.png
Au100_formaldehyde,Au100,formaldehyde,reasonable,2.999,Au-H,Au62...H1,3.072,Au-O,64,4,CHO,Au100_formaldehyde.png
Au100_formate,Au100,formate,reasonable,2.276,Au-O,Au62...O1,2.276,Au-O,64,4,CHO,Au100_formate.png
Au100_formic_acid,Au100,formic_acid,reasonable,2.404,Au-H,Au58...H1,3.144,Au-O,64,5,CHO,Au100_formic_acid.png
Au100_furan,Au100,furan,borderline,3.039,Au-C,Au55...C2,3.039,Au-C,64,9,CHO,Au100_furan.png
Au100_furfural,Au100,furfural,borderline,3.042,Au-H,Au59...H2,3.044,Au-C,64,11,CHO,Au100_furfural.png
Au100_furfuryl_alcohol,Au100,furfuryl_alcohol,reasonable,2.76,Au-H,Au51...H1,3.184,Au-C,64,13,CHO,Au100_furfuryl_alcohol.png
Au100_gamma_butyrolactone,Au100,gamma_butyrolactone,borderline,3.145,Au-O,Au54...O1,3.145,Au-O,64,12,CHO,Au100_gamma_butyrolactone.png
Au100_gamma_valerolactone,Au100,gamma_valerolactone,reasonable,2.87,Au-O,Au58...O1,2.87,Au-O,64,15,CHO,Au100_gamma_valerolactone.png
Au100_gluconic_acid,Au100,gluconic_acid,reasonable,2.744,Au-H,Au54...H12,3.294,Au-O,64,25,CHO,Au100_gluconic_acid.png
Au100_glutaric_acid,Au100,glutaric_acid,reasonable,2.679,Au-H,Au60...H1,2.703,Au-O,64,17,CHO,Au100_glutaric_acid.png
Au100_glycerol,Au100,glycerol,reasonable,2.68,Au-H,Au59...H1,3.505,Au-O,64,14,CHO,Au100_glycerol.png
Au100_glycolic_acid,Au100,glycolic_acid,reasonable,2.532,Au-H,Au63...H4,3.111,Au-O,64,9,CHO,Au100_glycolic_acid.png
Au100_glyoxal,Au100,glyoxal,reasonable,2.224,Au-H,Au59...H1,2.589,Au-O,64,6,CHO,Au100_glyoxal.png
Au100_guaiacol,Au100,guaiacol,borderline,3.059,Au-H,Au63...H8,3.743,Au-O,64,17,CHO,Au100_guaiacol.png
Au100_heptane,Au100,heptane,borderline,3.046,Au-H,Au53...H3,3.832,Au-C,64,23,CH,Au100_heptane.png
Au100_heptene,Au100,heptene,borderline,3.08,Au-H,Au62...H13,3.283,Au-C,64,21,CH,Au100_heptene.png
Au100_hexanal,Au100,hexanal,reasonable,2.991,Au-H,Au54...H3,3.352,Au-O,64,19,CHO,Au100_hexanal.png
Au100_hexane,Au100,hexane,borderline,3.2,Au-H,Au55...H11,3.966,Au-C,64,20,CH,Au100_hexane.png
Au100_hexene,Au100,hexene,reasonable,2.982,Au-C,Au54...C6,2.982,Au-C,64,18,CH,Au100_hexene.png
Au100_hydroquinone,Au100,hydroquinone,reasonable,2.593,Au-H,Au59...H1,3.568,Au-O,64,14,CHO,Au100_hydroquinone.png
Au100_hydroxyacetaldehyde,Au100,hydroxyacetaldehyde,borderline,3.042,Au-H,Au55...H1,3.145,Au-O,64,8,CHO,Au100_hydroxyacetaldehyde.png
Au100_isobutane,Au100,isobutane,borderline,3.092,Au-H,Au64...H4,3.93,Au-C,64,14,CH,Au100_isobutane.png
Au100_isobutene,Au100,isobutene,borderline,3.024,Au-C,Au55...C3,3.024,Au-C,64,12,CH,Au100_isobutene.png
Au100_isoeugenol,Au100,isoeugenol,borderline,3.307,Au-H,Au54...H8,3.365,Au-O,64,24,CHO,Au100_isoeugenol.png
Au100_isopentane,Au100,isopentane,borderline,3.015,Au-H,Au57...H1,3.823,Au-C,64,17,CH,Au100_isopentane.png
Au100_isoprene,Au100,isoprene,reasonable,2.231,Au-C,Au55...C3,2.231,Au-C,64,13,CH,Au100_isoprene.png
Au100_isopropanol,Au100,isopropanol,reasonable,2.794,Au-O,Au54...O1,2.794,Au-O,64,12,CHO,Au100_isopropanol.png
Au100_itaconic_acid,Au100,itaconic_acid,reasonable,2.716,Au-H,Au54...H6,2.956,Au-O,64,15,CHO,Au100_itaconic_acid.png
Au100_lactic_acid,Au100,lactic_acid,reasonable,2.496,Au-H,Au56...H6,3.103,Au-O,64,12,CHO,Au100_lactic_acid.png
Au100_levoglucosan,Au100,levoglucosan,reasonable,2.57,Au-H,Au58...H4,3.554,Au-O,64,21,CHO,Au100_levoglucosan.png
Au100_levulinic_acid,Au100,levulinic_acid,reasonable,2.755,Au-H,Au64...H8,2.835,Au-O,64,16,CHO,Au100_levulinic_acid.png
Au100_malic_acid,Au100,malic_acid,reasonable,2.612,Au-H,Au54...H1,3.147,Au-O,64,15,CHO,Au100_malic_acid.png
Au100_malonic_acid,Au100,malonic_acid,reasonable,2.562,Au-H,Au54...H1,3.091,Au-O,64,11,CHO,Au100_malonic_acid.png
Au100_methane,Au100,methane,borderline,3.177,Au-H,Au59...H2,3.526,Au-C,64,5,CH,Au100_methane.png
Au100_methanol,Au100,methanol,reasonable,2.881,Au-O,Au64...O1,2.881,Au-O,64,6,CHO,Au100_methanol.png
Au100_methyl_formate,Au100,methyl_formate,borderline,3.327,Au-H,Au58...H4,3.876,Au-O,64,8,CHO,Au100_methyl_formate.png
Au100_methylcyclopentenolone,Au100,methylcyclopentenolone,reasonable,2.818,Au-H,Au58...H4,3.803,Au-O,64,16,CHO,Au100_methylcyclopentenolone.png
Au100_methylethylketone,Au100,methylethylketone,reasonable,2.66,Au-O,Au58...O1,2.66,Au-O,64,13,CHO,Au100_methylethylketone.png
Au100_methylmethacrylate,Au100,methylmethacrylate,reasonable,2.94,Au-C,Au50...C4,2.94,Au-C,64,15,CHO,Au100_methylmethacrylate.png
Au100_muconic_acid,Au100,muconic_acid,borderline,3.203,Au-H,Au54...H4,3.672,Au-O,64,16,CHO,Au100_muconic_acid.png
Au100_naphthalene,Au100,naphthalene,borderline,3.154,Au-H,Au54...H3,3.629,Au-C,64,18,CH,Au100_naphthalene.png
Au100_octane,Au100,octane,borderline,3.09,Au-H,Au57...H3,4.07,Au-C,64,26,CH,Au100_octane.png
Au100_octene,Au100,octene,reasonable,2.822,Au-C,Au50...C8,2.822,Au-C,64,24,CH,Au100_octene.png
Au100_oxalic_acid,Au100,oxalic_acid,borderline,3.521,Au-H,Au59...H1,3.889,Au-O,64,8,CHO,Au100_oxalic_acid.png
Au100_pentane,Au100,pentane,reasonable,2.934,Au-H,Au54...H5,3.73,Au-C,64,17,CH,Au100_pentane.png
Au100_pentanol,Au100,pentanol,reasonable,2.743,Au-H,Au60...H12,3.561,Au-O,64,18,CHO,Au100_pentanol.png
Au100_phenol,Au100,phenol,reasonable,2.639,Au-H,Au59...H1,3.62,Au-O,64,13,CHO,Au100_phenol.png
Au100_propanal,Au100,propanal,borderline,3.162,Au-H,Au64...H3,3.21,Au-O,64,10,CHO,Au100_propanal.png
Au100_propane,Au100,propane,borderline,3.108,Au-H,Au55...H5,3.868,Au-C,64,11,CH,Au100_propane.png
Au100_propanol,Au100,propanol,reasonable,2.757,Au-O,Au53...O1,2.757,Au-O,64,12,CHO,Au100_propanol.png
Au100_propene,Au100,propene,borderline,3.066,Au-H,Au59...H5,3.112,Au-C,64,9,CH,Au100_propene.png
Au100_propionic_acid,Au100,propionic_acid,reasonable,2.653,Au-O,Au59...O1,2.653,Au-O,64,11,CHO,Au100_propionic_acid.png
Au100_propyl_syringol,Au100,propyl_syringol,borderline,3.046,Au-H,Au49...H12,3.329,Au-O,64,30,CHO,Au100_propyl_syringol.png
Au100_pyrrole,Au100,pyrrole,borderline,3.142,Au-H,Au51...H4,3.341,Au-C,64,10,CHN,Au100_pyrrole.png
Au100_pyruvic_acid,Au100,pyruvic_acid,borderline,3.204,Au-H,Au51...H4,3.221,Au-O,64,10,CHO,Au100_pyruvic_acid.png
Au100_sorbitol,Au100,sorbitol,reasonable,2.872,Au-H,Au60...H5,3.661,Au-O,64,26,CHO,Au100_sorbitol.png
Au100_styrene,Au100,styrene,reasonable,2.326,Au-C,Au64...C1,2.326,Au-C,64,16,CH,Au100_styrene.png
Au100_succinic_acid,Au100,succinic_acid,reasonable,2.669,Au-O,Au53...O2,2.669,Au-O,64,14,CHO,Au100_succinic_acid.png
Au100_syringaldehyde,Au100,syringaldehyde,borderline,3.249,Au-H,Au60...H10,3.264,Au-O,64,23,CHO,Au100_syringaldehyde.png
Au100_syringol,Au100,syringol,borderline,3.088,Au-H,Au53...H10,3.154,Au-O,64,21,CHO,Au100_syringol.png
Au100_tartaric_acid,Au100,tartaric_acid,reasonable,2.956,Au-H,Au63...H5,3.471,Au-O,64,16,CHO,Au100_tartaric_acid.png
Au100_thiophene,Au100,thiophene,borderline,3.1,Au-H,Au58...H1,3.272,Au-C,64,9,CHS,Au100_thiophene.png
Au100_toluene,Au100,toluene,borderline,3.109,Au-H,Au54...H6,3.3,Au-C,64,15,CH,Au100_toluene.png
Au100_valeraldehyde,Au100,valeraldehyde,reasonable,2.99,Au-O,Au63...O1,2.99,Au-O,64,16,CHO,Au100_valeraldehyde.png
Au100_valeric_acid,Au100,valeric_acid,reasonable,2.786,Au-O,Au60...O1,2.786,Au-O,64,17,CHO,Au100_valeric_acid.png
Au100_vanillin,Au100,vanillin,borderline,3.166,Au-H,Au51...H8,3.512,Au-O,64,19,CHO,Au100_vanillin.png
Au100_xylene,Au100,xylene,borderline,3.252,Au-H,Au54...H5,3.851,Au-C,64,18,CH,Au100_xylene.png
Au100_xylitol,Au100,xylitol,reasonable,2.657,Au-H,Au61...H12,3.583,Au-O,64,22,CHO,Au100_xylitol.png
"Au110_1,6-anhydroglucofuranose",Au110,"1,6-anhydroglucofuranose",reasonable,2.918,Au-H,Au60...H1,3.519,Au-O,64,17,CHO,"Au110_1,6-anhydroglucofuranose.png"
Au110_1-butanol,Au110,1-butanol,reasonable,2.685,Au-O,Au58...O1,2.685,Au-O,64,15,CHO,Au110_1-butanol.png
Au110_1-butene,Au110,1-butene,reasonable,2.221,Au-C,Au58...C4,2.221,Au-C,64,12,CH,Au110_1-butene.png
Au110_1-pentene,Au110,1-pentene,reasonable,2.22,Au-C,Au55...C5,2.22,Au-C,64,15,CH,Au110_1-pentene.png
Au110_2-butanol,Au110,2-butanol,reasonable,2.762,Au-O,Au59...O1,2.762,Au-O,64,15,CHO,Au110_2-butanol.png
Au110_2-butene,Au110,2-butene,reasonable,2.967,Au-H,Au51...H4,3.012,Au-C,64,12,CH,Au110_2-butene.png
Au110_2-ethylphenol,Au110,2-ethylphenol,reasonable,2.674,Au-H,Au54...H10,3.575,Au-C,64,19,CHO,Au110_2-ethylphenol.png
Au110_2-furanone,Au110,2-furanone,reasonable,2.703,Au-O,Au55...O1,2.703,Au-O,64,10,CHO,Au110_2-furanone.png
Au110_2-heptanone,Au110,2-heptanone,reasonable,2.886,Au-O,Au52...O1,2.886,Au-O,64,22,CHO,Au110_2-heptanone.png
Au110_2-hexanone,Au110,2-hexanone,reasonable,2.594,Au-O,Au63...O1,2.594,Au-O,64,19,CHO,Au110_2-hexanone.png
Au110_2-pentanone,Au110,2-pentanone,reasonable,2.451,Au-O,Au58...O1,2.451,Au-O,64,16,CHO,Au110_2-pentanone.png
Au110_3-MTHF,Au110,3-MTHF,reasonable,2.931,Au-H,Au58...H9,3.328,Au-O,64,16,CHO,Au110_3-MTHF.png
Au110_3-hydroxypropionic_acid,Au110,3-hydroxypropionic_acid,reasonable,2.6,Au-H,Au50...H6,2.853,Au-O,64,12,CHO,Au110_3-hydroxypropionic_acid.png
Au110_4-methylguaiacol,Au110,4-methylguaiacol,borderline,3.199,Au-H,Au59...H6,3.48,Au-O,64,20,CHO,Au110_4-methylguaiacol.png
Au110_5-HMF,Au110,5-HMF,reasonable,2.354,Au-C,Au59...C4,2.354,Au-C,64,15,CHO,Au110_5-HMF.png
Au110_5-heptanone,Au110,5-heptanone,reasonable,2.891,Au-O,Au58...O1,2.891,Au-O,64,22,CHO,Au110_5-heptanone.png
Au110_5-methylfurfural,Au110,5-methylfurfural,reasonable,2.812,Au-O,Au59...O2,2.812,Au-O,64,14,CHO,Au110_5-methylfurfural.png
Au110_CH2,Au110,CH2,reasonable,2.068,Au-C,Au63...C1,2.068,Au-C,64,3,CH,Au110_CH2.png
Au110_CH3,Au110,CH3,reasonable,2.086,Au-C,Au59...C1,2.086,Au-C,64,4,CH,Au110_CH3.png
Au110_CH4,Au110,CH4,reasonable,2.954,Au-H,Au63...H1,3.394,Au-C,64,5,CH,Au110_CH4.png
