name,surface,molecule,category,min_dist,pair,pair_labels,min_dist_heavy,pair_heavy,n_metal,n_mol,mol_elems,png
Ag110_levulinic_acid,Ag110,levulinic_acid,reasonable,2.33,Ag-O,Ag20...O2,2.33,Ag-O,24,16,CHO,Ag110_levulinic_acid.png
Ag110_malic_acid,Ag110,malic_acid,reasonable,2.638,Ag-O,Ag24...O4,2.638,Ag-O,24,15,CHO,Ag110_malic_acid.png
Ag110_malonic_acid,Ag110,malonic_acid,reasonable,2.519,Ag-O,Ag23...O3,2.519,Ag-O,24,11,CHO,Ag110_malonic_acid.png
Ag110_methane,Ag110,methane,borderline,3.112,Ag-H,Ag23...H3,3.485,Ag-C,24,5,CH,Ag110_methane.png
Ag110_methanol,Ag110,methanol,reasonable,2.521,Ag-O,Ag23...O1,2.521,Ag-O,24,6,CHO,Ag110_methanol.png
Ag110_methyl_formate,Ag110,methyl_formate,reasonable,2.754,Ag-O,Ag24...O2,2.754,Ag-O,24,8,CHO,Ag110_methyl_formate.png
Ag110_methylcyclopentenolone,Ag110,methylcyclopentenolone,reasonable,2.341,Ag-O,Ag23...O2,2.341,Ag-O,24,16,CHO,Ag110_methylcyclopentenolone.png
Ag110_methylethylketone,Ag110,methylethylketone,reasonable,2.358,Ag-O,Ag20...O1,2.358,Ag-O,24,13,CHO,Ag110_methylethylketone.png
Ag110_methylmethacrylate,Ag110,methylmethacrylate,reasonable,2.556,Ag-O,Ag20...O2,2.556,Ag-O,24,15,CHO,Ag110_methylmethacrylate.png
Ag110_muconic_acid,Ag110,muconic_acid,reasonable,2.429,Ag-C,Ag23...C2,2.429,Ag-C,24,16,CHO,Ag110_muconic_acid.png
Ag110_naphthalene,Ag110,naphthalene,borderline,3.259,Ag-H,Ag21...H1,3.55,Ag-C,24,18,CH,Ag110_naphthalene.png
Ag110_octane,Ag110,octane,borderline,3.053,Ag-H,Ag20...H10,3.593,Ag-C,24,26,CH,Ag110_octane.png
Ag110_octene,Ag110,octene,reasonable,2.456,Ag-C,Ag24...C8,2.456,Ag-C,24,24,CH,Ag110_octene.png
Ag110_oxalic_acid,Ag110,oxalic_acid,reasonable,2.533,Ag-O,Ag23...O3,2.533,Ag-O,24,8,CHO,Ag110_oxalic_acid.png
Ag110_pentane,Ag110,pentane,borderline,3.114,Ag-H,Ag20...H9,3.924,Ag-C,24,17,CH,Ag110_pentane.png
Ag110_pentanol,Ag110,pentanol,reasonable,2.498,Ag-O,Ag23...O1,2.498,Ag-O,24,18,CHO,Ag110_pentanol.png
Ag110_phenol,Ag110,phenol,borderline,3.049,Ag-O,Ag23...O1,3.049,Ag-O,24,13,CHO,Ag110_phenol.png
Ag110_propanal,Ag110,propanal,reasonable,2.398,Ag-O,Ag23...O1,2.398,Ag-O,24,10,CHO,Ag110_propanal.png
Ag110_propane,Ag110,propane,borderline,3.11,Ag-H,Ag23...H6,3.643,Ag-C,24,11,CH,Ag110_propane.png
Ag110_propanol,Ag110,propanol,reasonable,2.49,Ag-O,Ag55...O1,2.49,Ag-O,64,12,CHO,Ag110_propanol.png
Ag110_propene,Ag110,propene,reasonable,2.426,Ag-C,Ag23...C3,2.426,Ag-C,24,9,CH,Ag110_propene.png
Ag110_propionic_acid,Ag110,propionic_acid,reasonable,2.444,Ag-O,Ag24...O1,2.444,Ag-O,24,11,CHO,Ag110_propionic_acid.png
Ag110_propyl_syringol,Ag110,propyl_syringol,reasonable,2.808,Ag-O,Ag23...O2,2.808,Ag-O,24,30,CHO,Ag110_propyl_syringol.png
Ag110_pyrrole,Ag110,pyrrole,reasonable,2.528,Ag-C,Ag20...C1,2.528,Ag-C,24,10,CHN,Ag110_pyrrole.png
Ag110_pyruvic_acid,Ag110,pyruvic_acid,reasonable,2.435,Ag-O,Ag20...O2,2.435,Ag-O,24,10,CHO,Ag110_pyruvic_acid.png
Ag110_sorbitol,Ag110,sorbitol,borderline,3.01,Ag-O,Ag24...O6,3.01,Ag-O,24,26,CHO,Ag110_sorbitol.png
Ag110_styrene,Ag110,styrene,borderline,3.136,Ag-H,Ag24...H2,3.27,Ag-C,24,16,CH,Ag110_styrene.png
Ag110_succinic_acid,Ag110,succinic_acid,reasonable,2.402,Ag-O,Ag24...O3,2.402,Ag-O,24,14,CHO,Ag110_succinic_acid.png
Ag110_syringaldehyde,Ag110,syringaldehyde,reasonable,2.363,Ag-O,Ag21...O2,2.363,Ag-O,24,23,CHO,Ag110_syringaldehyde.png
Ag110_syringol,Ag110,syringol,borderline,3.346,Ag-O,Ag20...O3,3.346,Ag-O,24,21,CHO,Ag110_syringol.png
Ag110_tartaric_acid,Ag110,tartaric_acid,reasonable,2.751,Ag-O,Ag20...O5,2.751,Ag-O,24,16,CHO,Ag110_tartaric_acid.png
Ag110_thiophene,Ag110,thiophene,reasonable,2.714,Ag-S,Ag23...S1,2.714,Ag-S,24,9,CHS,Ag110_thiophene.png
Ag110_toluene,Ag110,toluene,borderline,3.344,Ag-H,Ag23...H7,3.808,Ag-C,24,15,CH,Ag110_toluene.png
Ag110_valeraldehyde,Ag110,valeraldehyde,reasonable,2.39,Ag-O,Ag23...O1,2.39,Ag-O,24,16,CHO,Ag110_valeraldehyde.png
Ag110_valeric_acid,Ag110,valeric_acid,reasonable,2.449,Ag-O,Ag24...O1,2.449,Ag-O,24,17,CHO,Ag110_valeric_acid.png
Ag110_vanillin,Ag110,vanillin,reasonable,2.336,Ag-O,Ag20...O2,2.336,Ag-O,24,19,CHO,Ag110_vanillin.png
Ag110_xylene,Ag110,xylene,borderline,3.354,Ag-H,Ag23...H10,4.215,Ag-C,24,18,CH,Ag110_xylene.png
Ag110_xylitol,Ag110,xylitol,reasonable,2.673,Ag-O,Ag24...O4,2.673,Ag-O,24,22,CHO,Ag110_xylitol.png
"Ag111_1,6-anhydroglucofuranose",Ag111,"1,6-anhydroglucofuranose",borderline,3.232,Ag-H,Ag35...H1,3.776,Ag-O,36,17,CHO,"Ag111_1,6-anhydroglucofuranose.png"
Ag111_1-butanol,Ag111,1-butanol,reasonable,2.781,Ag-H,Ag32...H7,3.249,Ag-O,36,15,CHO,Ag111_1-butanol.png
Ag111_1-butene,Ag111,1-butene,borderline,3.435,Ag-H,Ag28...H7,3.641,Ag-C,36,12,CH,Ag111_1-butene.png
Ag111_1-pentene,Ag111,1-pentene,borderline,3.336,Ag-H,Ag35...H9,3.455,Ag-C,36,15,CH,Ag111_1-pentene.png
Ag111_2-butanol,Ag111,2-butanol,reasonable,2.803,Ag-O,Ag31...O1,2.803,Ag-O,36,15,CHO,Ag111_2-butanol.png
Ag111_2-butene,Ag111,2-butene,detached,3.97,Ag-H,Ag32...H5,4.335,Ag-C,36,12,CH,Ag111_2-butene.png
Ag111_2-ethylphenol,Ag111,2-ethylphenol,reasonable,2.903,Ag-H,Ag29...H10,3.5,Ag-O,36,19,CHO,Ag111_2-ethylphenol.png
Ag111_2-furanone,Ag111,2-furanone,reasonable,2.747,Ag-O,Ag32...O1,2.747,Ag-O,36,10,CHO,Ag111_2-furanone.png
Ag111_2-heptanone,Ag111,2-heptanone,borderline,3.006,Ag-O,Ag34...O1,3.006,Ag-O,36,22,CHO,Ag111_2-heptanone.png
Ag111_2-hexanone,Ag111,2-hexanone,borderline,3.005,Ag-H,Ag29...H12,3.275,Ag-O,36,19,CHO,Ag111_2-hexanone.png
Ag111_2-pentanone,Ag111,2-pentanone,reasonable,2.793,Ag-O,Ag31...O1,2.793,Ag-O,36,16,CHO,Ag111_2-pentanone.png
Ag111_3-MTHF,Ag111,3-MTHF,detached,3.832,Ag-O,Ag32...O1,3.832,Ag-O,36,16,CHO,Ag111_3-MTHF.png
Ag111_3-hydroxypropionic_acid,Ag111,3-hydroxypropionic_acid,borderline,3.006,Ag-O,Ag36...O1,3.006,Ag-O,36,12,CHO,Ag111_3-hydroxypropionic_acid.png
Ag111_4-methylguaiacol,Ag111,4-methylguaiacol,borderline,3.592,Ag-H,Ag33...H6,3.933,Ag-O,36,20,CHO,Ag111_4-methylguaiacol.png
Ag111_5-HMF,Ag111,5-HMF,reasonable,2.986,Ag-O,Ag33...O1,2.986,Ag-O,36,15,CHO,Ag111_5-HMF.png
Ag111_5-heptanone,Ag111,5-heptanone,reasonable,2.782,Ag-O,Ag31...O1,2.782,Ag-O,36,22,CHO,Ag111_5-heptanone.png
Ag111_5-methylfurfural,Ag111,5-methylfurfural,reasonable,2.918,Ag-O,Ag35...O2,2.918,Ag-O,36,14,CHO,Ag111_5-methylfurfural.png
Ag111_CH2,Ag111,CH2,reasonable,2.137,Ag-C,Ag28...C1,2.137,Ag-C,36,3,CH,Ag111_CH2.png
Ag111_CH3,Ag111,CH3,reasonable,2.168,Ag-C,Ag32...C1,2.168,Ag-C,36,4,CH,Ag111_CH3.png
Ag111_CH4,Ag111,CH4,borderline,3.46,Ag-H,Ag31...H2,4.0,Ag-C,36,5,CH,Ag111_CH4.png
Ag111_CO,Ag111,CO,reasonable,2.347,Ag-C,Ag32...C1,2.347,Ag-C,36,2,CO,Ag111_CO.png
Ag111_CO2,Ag111,CO2,detached,3.648,Ag-C,Ag55...C1,3.648,Ag-C,64,3,CO,Ag111_CO2.png
Ag111_D-fructofuranose,Ag111,D-fructofuranose,reasonable,2.925,Ag-O,Ag34...O4,2.925,Ag-O,36,20,CHO,Ag111_D-fructofuranose.png
Ag111_D-xylopyranose,Ag111,D-xylopyranose,borderline,3.223,Ag-H,Ag32...H9,3.512,Ag-O,36,20,CHO,Ag111_D-xylopyranose.png
Ag111_DME,Ag111,DME,borderline,3.437,Ag-O,Ag32...O1,3.437,Ag-O,36,9,CHO,Ag111_DME.png
Ag111_DMSO,Ag111,DMSO,reasonable,2.574,Ag-O,Ag34...O1,2.574,Ag-O,36,10,CHOS,Ag111_DMSO.png
Ag111_H2,Ag111,H2,reasonable,2.982,Ag-H,Ag32...H1,,,36,2,H,Ag111_H2.png
Ag111_H2O,Ag111,H2O,borderline,3.176,Ag-H,Ag29...H1,3.271,Ag-O,36,3,HO,Ag111_H2O.png
