functional,system,surface,molecule,source_dir,E_slab_mol,E_slab,E_mol,E_ads,status,note,convergence,publishable,complex_outcar,slab_outcar,molecule_outcar,E_ads_raw,complex_potentials,complex_composition,slab_potentials,slab_composition,molecule_potentials,molecule_composition
pbe,C2H4_Ag100,Ag100,C2H4,dft_jobs,-122.77670481,-90.12407184,-31.970644,-0.681988969999999,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Ag100/PBE/OUTCAR,vasp_slab/Ag100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-0.681988969999999,"{""Ag"": ""PAW_PBE Ag 02Apr2005"", ""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""Ag"": 36, ""C"": 2, ""H"": 4}","{""Ag"": ""PAW_PBE Ag_pv 09Dec2005""}","{""Ag"": 36}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Ag110,Ag110,C2H4,dft_jobs,-89.91124787,-57.34530434,-31.970644,-0.5952995299999984,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Ag110/PBE/OUTCAR,vasp_slab/Ag110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-0.5952995299999984,"{""Ag"": ""PAW_PBE Ag 02Apr2005"", ""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""Ag"": 24, ""C"": 2, ""H"": 4}","{""Ag"": ""PAW_PBE Ag_pv 09Dec2005""}","{""Ag"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Ag111,Ag111,C2H4,dft_jobs,-124.25344798,-162.0788939,-31.970644,,slab_mismatch,"slab size mismatch: complex has 36 Ag, reference has 64",complex: converged; slab: converged; molecule: converged,false,dft_jobs/C2H4_Ag111/PBE/OUTCAR,vasp_slab/Ag111/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,69.79608991999999,"{""Ag"": ""PAW_PBE Ag 02Apr2005"", ""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""Ag"": 36, ""C"": 2, ""H"": 4}","{""Ag"": ""PAW_PBE Ag_pv 09Dec2005""}","{""Ag"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Au100,Au100,C2H4,dft_jobs,-223.85770427,-108.11108078,-31.970644,,slab_mismatch,"slab size mismatch: complex has 64 Au, reference has 36",complex: converged; slab: converged; molecule: converged,false,dft_jobs/C2H4_Au100/PBE/OUTCAR,vasp_slab/Au100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-83.77597949,"{""Au"": ""PAW_PBE Au 04Oct2007"", ""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""Au"": 64, ""C"": 2, ""H"": 4}","{""Au"": ""PAW_PBE Au 04Oct2007""}","{""Au"": 36}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Au110,Au110,C2H4,dft_jobs,-216.52491749,-69.78140854,-31.970644,,slab_mismatch,"slab size mismatch: complex has 64 Au, reference has 24",complex: converged; slab: converged; molecule: converged,false,dft_jobs/C2H4_Au110/PBE/OUTCAR,vasp_slab/Au110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-114.77286495000001,"{""Au"": ""PAW_PBE Au 04Oct2007"", ""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""Au"": 64, ""C"": 2, ""H"": 4}","{""Au"": ""PAW_PBE Au 04Oct2007""}","{""Au"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Au111,Au111,C2H4,dft_jobs,-142.28313168,-196.23589709,-31.970644,,slab_mismatch,"slab size mismatch: complex has 36 Au, reference has 64",complex: converged; slab: converged; molecule: converged,false,dft_jobs/C2H4_Au111/PBE/OUTCAR,vasp_slab/Au111/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,85.92340941,"{""Au"": ""PAW_PBE Au 04Oct2007"", ""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""Au"": 36, ""C"": 2, ""H"": 4}","{""Au"": ""PAW_PBE Au 04Oct2007""}","{""Au"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Cu100,Cu100,C2H4,dft_jobs,-251.90974275,-219.76682164,-31.970644,-0.17227711000000312,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Cu100/PBE/OUTCAR,vasp_slab/Cu100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-0.17227711000000312,"{""C"": ""PAW_PBE C 08Apr2002"", ""Cu"": ""PAW_PBE Cu 22Jun2005"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""Cu"": 64, ""H"": 4}","{""Cu"": ""PAW_PBE Cu 22Jun2005""}","{""Cu"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Cu110,Cu110,C2H4,dft_jobs,-111.68807136,-79.75003338,-31.970644,0.032606020000010005,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Cu110/PBE/OUTCAR,vasp_slab/Cu110/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,0.032606020000010005,"{""C"": ""PAW_PBE C 08Apr2002"", ""Cu"": ""PAW_PBE Cu 22Jun2005"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""Cu"": 24, ""H"": 4}","{""Cu"": ""PAW_PBE Cu_pv 06Sep2000""}","{""Cu"": 24}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Cu111,Cu111,C2H4,dft_jobs,-256.09967859,-225.69788512,-31.970644,1.5688505299999989,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Cu111/PBE/OUTCAR,vasp_slab/Cu111/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,1.5688505299999989,"{""C"": ""PAW_PBE C 08Apr2002"", ""Cu"": ""PAW_PBE Cu 22Jun2005"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""Cu"": 64, ""H"": 4}","{""Cu"": ""PAW_PBE Cu_pv 06Sep2000""}","{""Cu"": 64}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
pbe,C2H4_Ir100,Ir100,C2H4,dft_jobs,-327.77829821,-294.40101414,-31.970644,-1.40664007000003,ok,,complex: converged; slab: converged; molecule: converged,true,dft_jobs/C2H4_Ir100/PBE/OUTCAR,vasp_slab/Ir100/PBE/OUTCAR,vasp_mol/C2H4/PBE/OUTCAR,-1.40664007000003,"{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001"", ""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""C"": 2, ""H"": 4, ""Ir"": 36}","{""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""Ir"": 36}","{""C"": ""PAW_PBE C 08Apr2002"", ""H"": ""PAW_PBE H 15Jun2001""}","{""C"": 2, ""H"": 4}"
