surface,molecule,functional,E_ads_ML,E_ads_relaxed,E_ads_SPE,relaxed_status,SPE_status,completion_job_directory,relaxed_energy_review,SPE_energy_review,dft_contact_available,required_CONTCAR
Ag100,SO2,pbe,-0.54,,,refs unverified,potential mismatch,,False,False,True,
Ag100,SO2,pbe_d3,-0.54,,,refs unverified,potential mismatch,,False,False,True,
Ag100,SO2,r2scan,-0.54,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,SO2,beef_vdw,-0.54,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,acetaldehyde,pbe,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag100,acetaldehyde,pbe_d3,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag100,acetaldehyde,r2scan,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag100,acetaldehyde,beef_vdw,-0.5,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,acetic_acid,pbe,-0.58,,,potential_mismatch,reference_unavailable,,False,False,True,
Ag100,acetic_acid,pbe_d3,-0.58,,,potential_mismatch,reference_unavailable,,False,False,True,
Ag100,acetic_acid,r2scan,-0.58,,,refs unverified,potential mismatch,,False,False,True,
Ag100,acetic_acid,beef_vdw,-0.58,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,ethane,pbe,-0.29,-0.023,-0.021,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,False,False,True,
Ag100,ethane,pbe_d3,-0.29,-0.26,-0.007,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_ea6fd71f0d/pbe_d3,False,False,True,
Ag100,ethane,r2scan,-0.29,,0.13,refs unverified,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,False,False,True,
Ag100,ethane,beef_vdw,-0.29,-0.283,-0.189,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,False,False,True,
Ag100,ethanol,pbe,-0.44,-0.154,-0.15,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,False,False,True,
Ag100,ethanol,pbe_d3,-0.44,-0.448,-0.224,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_ea6fd71f0d/pbe_d3,False,False,True,
Ag100,ethanol,r2scan,-0.44,,-0.088,refs unverified,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,False,False,True,
Ag100,ethanol,beef_vdw,-0.44,-0.456,-0.352,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,False,False,True,
Ag100,ethene,pbe,-0.21,,,refs unverified,potential mismatch,,False,False,True,
Ag100,ethene,pbe_d3,-0.21,,,refs unverified,potential mismatch,,False,False,True,
Ag100,ethene,r2scan,-0.21,,,refs unverified,potential mismatch,,False,False,True,
Ag100,ethene,beef_vdw,-0.21,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,formaldehyde,pbe,-0.32,,,refs unverified,potential mismatch,,False,False,True,
Ag100,formaldehyde,pbe_d3,-0.32,,,refs unverified,potential mismatch,,False,False,True,
Ag100,formaldehyde,r2scan,-0.32,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,formaldehyde,beef_vdw,-0.32,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,formate,pbe,-2.21,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_formate/singlepoint/PBE/fully_relaxed/CONTCAR
