functional,n,mean_residual,mae_residual,mean_gap,mae_total,negative_gap_count
PBE,232,-0.3423826064655173,0.5944243793103449,0.37537398577586206,0.4225431034482759,3
PBE+D3,222,-0.09439632959459458,0.4110927970720721,0.45867110436936936,0.5420225225225226,7
r2SCAN,245,-0.16105998367346935,0.5774436982857143,0.5595007999999999,0.6246448979591838,3
BEEF-vdW,57,-0.33093089526315783,0.44235083912280704,0.19547475491228072,0.221280701754386,15
