role,name,functional,required_composition,required_slab_cell_A,required_potentials,affected_missing_cells,cells
slab,Ag100,beef_vdw,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [0.0, 8.676200205158938, 0.0], [0.0, 0.0, 36.135]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",36,"[[""Ag100"", ""CH3"", ""beef_vdw"", ""SPE""], [""Ag100"", ""CH3"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""CO"", ""beef_vdw"", ""SPE""], [""Ag100"", ""DME"", ""beef_vdw"", ""SPE""], [""Ag100"", ""DME"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""H2"", ""beef_vdw"", ""SPE""], [""Ag100"", ""H2O"", ""beef_vdw"", ""SPE""], [""Ag100"", ""H2S"", ""beef_vdw"", ""SPE""], [""Ag100"", ""H2S"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""N2"", ""beef_vdw"", ""SPE""], [""Ag100"", ""NH3"", ""beef_vdw"", ""SPE""], [""Ag100"", ""NH3"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""NO"", ""beef_vdw"", ""SPE""], [""Ag100"", ""NO"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""O2"", ""beef_vdw"", ""SPE""], [""Ag100"", ""SO2"", ""beef_vdw"", ""SPE""], [""Ag100"", ""SO2"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""acetaldehyde"", ""beef_vdw"", ""SPE""], [""Ag100"", ""acetaldehyde"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""acetic_acid"", ""beef_vdw"", ""SPE""], [""Ag100"", ""acetic_acid"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""ethene"", ""beef_vdw"", ""SPE""], [""Ag100"", ""ethene"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""formaldehyde"", ""beef_vdw"", ""SPE""], [""Ag100"", ""formaldehyde"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""formate"", ""beef_vdw"", ""SPE""], [""Ag100"", ""formic_acid"", ""beef_vdw"", ""SPE""], [""Ag100"", ""formic_acid"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""isopropanol"", ""beef_vdw"", ""SPE""], [""Ag100"", ""methane"", ""beef_vdw"", ""SPE""], [""Ag100"", ""methane"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""methanol"", ""beef_vdw"", ""SPE""], [""Ag100"", ""methanol"", ""beef_vdw"", ""relaxed""], [""Ag100"", ""propane"", ""beef_vdw"", ""SPE""], [""Ag100"", ""propanol"", ""beef_vdw"", ""SPE""], [""Ag100"", ""propene"", ""beef_vdw"", ""SPE""]]"
slab,Ag100,pbe,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [0.0, 8.676200205158938, 0.0], [0.0, 0.0, 36.135]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",36,"[[""Ag100"", ""CH3"", ""pbe"", ""SPE""], [""Ag100"", ""CH3"", ""pbe"", ""relaxed""], [""Ag100"", ""CO"", ""pbe"", ""SPE""], [""Ag100"", ""CO"", ""pbe"", ""relaxed""], [""Ag100"", ""DME"", ""pbe"", ""SPE""], [""Ag100"", ""DME"", ""pbe"", ""relaxed""], [""Ag100"", ""H2"", ""pbe"", ""SPE""], [""Ag100"", ""H2O"", ""pbe"", ""SPE""], [""Ag100"", ""H2O"", ""pbe"", ""relaxed""], [""Ag100"", ""H2S"", ""pbe"", ""SPE""], [""Ag100"", ""H2S"", ""pbe"", ""relaxed""], [""Ag100"", ""N2"", ""pbe"", ""SPE""], [""Ag100"", ""NH3"", ""pbe"", ""SPE""], [""Ag100"", ""NO"", ""pbe"", ""SPE""], [""Ag100"", ""O2"", ""pbe"", ""SPE""], [""Ag100"", ""SO2"", ""pbe"", ""SPE""], [""Ag100"", ""SO2"", ""pbe"", ""relaxed""], [""Ag100"", ""acetaldehyde"", ""pbe"", ""SPE""], [""Ag100"", ""acetaldehyde"", ""pbe"", ""relaxed""], [""Ag100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Ag100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Ag100"", ""ethene"", ""pbe"", ""SPE""], [""Ag100"", ""ethene"", ""pbe"", ""relaxed""], [""Ag100"", ""formaldehyde"", ""pbe"", ""SPE""], [""Ag100"", ""formaldehyde"", ""pbe"", ""relaxed""], [""Ag100"", ""formate"", ""pbe"", ""SPE""], [""Ag100"", ""formic_acid"", ""pbe"", ""SPE""], [""Ag100"", ""formic_acid"", ""pbe"", ""relaxed""], [""Ag100"", ""isopropanol"", ""pbe"", ""SPE""], [""Ag100"", ""methane"", ""pbe"", ""SPE""], [""Ag100"", ""methane"", ""pbe"", ""relaxed""], [""Ag100"", ""methanol"", ""pbe"", ""SPE""], [""Ag100"", ""methanol"", ""pbe"", ""relaxed""], [""Ag100"", ""propane"", ""pbe"", ""SPE""], [""Ag100"", ""propanol"", ""pbe"", ""SPE""], [""Ag100"", ""propene"", ""pbe"", ""SPE""]]"
slab,Cu100,beef_vdw,"{""Cu"": 64}","[[10.210621920333747, 0.0, 0.0], [0.0, 10.210621920333747, 0.0], [0.0, 0.0, 35.415]]","{""Cu"": ""PAW_PBE Cu 22Jun2005""}",35,"[[""Cu100"", ""CH3"", ""beef_vdw"", ""SPE""], [""Cu100"", ""CH3"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""CO"", ""beef_vdw"", ""SPE""], [""Cu100"", ""CO"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""CO2"", ""beef_vdw"", ""SPE""], [""Cu100"", ""CO2"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""DME"", ""beef_vdw"", ""SPE""], [""Cu100"", ""DME"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""H2O"", ""beef_vdw"", ""SPE""], [""Cu100"", ""H2O"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""H2S"", ""beef_vdw"", ""SPE""], [""Cu100"", ""H2S"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""N2"", ""beef_vdw"", ""SPE""], [""Cu100"", ""N2"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""NO"", ""beef_vdw"", ""SPE""], [""Cu100"", ""NO"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""SO2"", ""beef_vdw"", ""SPE""], [""Cu100"", ""SO2"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""acetaldehyde"", ""beef_vdw"", ""SPE""], [""Cu100"", ""acetic_acid"", ""beef_vdw"", ""SPE""], [""Cu100"", ""acetic_acid"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""ethane"", ""beef_vdw"", ""SPE""], [""Cu100"", ""ethane"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""ethanol"", ""beef_vdw"", ""SPE""], [""Cu100"", ""ethanol"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""ethene"", ""beef_vdw"", ""SPE""], [""Cu100"", ""ethene"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""formaldehyde"", ""beef_vdw"", ""SPE""], [""Cu100"", ""formaldehyde"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""formic_acid"", ""beef_vdw"", ""SPE""], [""Cu100"", ""formic_acid"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""methane"", ""beef_vdw"", ""SPE""], [""Cu100"", ""methane"", ""beef_vdw"", ""relaxed""], [""Cu100"", ""methanol"", ""beef_vdw"", ""SPE""], [""Cu100"", ""methanol"", ""beef_vdw"", ""relaxed""]]"
slab,Cu110,beef_vdw,"{""Cu"": 24}","[[10.83, 0.0, 0.0], [0.0, 5.105310960166873, 0.0], [0.0, 0.0, 33.82898322012515]]","{""Cu"": ""PAW_PBE Cu 22Jun2005""}",35,"[[""Cu110"", ""CH3"", ""beef_vdw"", ""SPE""], [""Cu110"", ""CH3"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""CO"", ""beef_vdw"", ""SPE""], [""Cu110"", ""CO2"", ""beef_vdw"", ""SPE""], [""Cu110"", ""CO2"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""DME"", ""beef_vdw"", ""SPE""], [""Cu110"", ""DME"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""H2O"", ""beef_vdw"", ""SPE""], [""Cu110"", ""H2S"", ""beef_vdw"", ""SPE""], [""Cu110"", ""H2S"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""N2"", ""beef_vdw"", ""SPE""], [""Cu110"", ""N2"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""NH3"", ""beef_vdw"", ""SPE""], [""Cu110"", ""NH3"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""NO"", ""beef_vdw"", ""SPE""], [""Cu110"", ""NO"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""SO2"", ""beef_vdw"", ""SPE""], [""Cu110"", ""SO2"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""acetaldehyde"", ""beef_vdw"", ""SPE""], [""Cu110"", ""acetaldehyde"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""acetic_acid"", ""beef_vdw"", ""SPE""], [""Cu110"", ""acetic_acid"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""ethane"", ""beef_vdw"", ""SPE""], [""Cu110"", ""ethane"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""ethene"", ""beef_vdw"", ""SPE""], [""Cu110"", ""ethene"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""formaldehyde"", ""beef_vdw"", ""SPE""], [""Cu110"", ""formaldehyde"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""formic_acid"", ""beef_vdw"", ""SPE""], [""Cu110"", ""formic_acid"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""glycerol"", ""beef_vdw"", ""SPE""], [""Cu110"", ""methane"", ""beef_vdw"", ""SPE""], [""Cu110"", ""methane"", ""beef_vdw"", ""relaxed""], [""Cu110"", ""methanol"", ""beef_vdw"", ""SPE""], [""Cu110"", ""methanol"", ""beef_vdw"", ""relaxed""]]"
slab,Cu110,r2scan,"{""Cu"": 24}","[[10.83, 0.0, 0.0], [0.0, 5.105310960166873, 0.0], [0.0, 0.0, 33.82898322012515]]","{""Cu"": ""PAW_PBE Cu 22Jun2005""}",35,"[[""Cu110"", ""CH3"", ""r2scan"", ""SPE""], [""Cu110"", ""CH3"", ""r2scan"", ""relaxed""], [""Cu110"", ""CO"", ""r2scan"", ""SPE""], [""Cu110"", ""CO"", ""r2scan"", ""relaxed""], [""Cu110"", ""CO2"", ""r2scan"", ""SPE""], [""Cu110"", ""DME"", ""r2scan"", ""SPE""], [""Cu110"", ""DME"", ""r2scan"", ""relaxed""], [""Cu110"", ""H2O"", ""r2scan"", ""SPE""], [""Cu110"", ""H2O"", ""r2scan"", ""relaxed""], [""Cu110"", ""H2S"", ""r2scan"", ""SPE""], [""Cu110"", ""H2S"", ""r2scan"", ""relaxed""], [""Cu110"", ""N2"", ""r2scan"", ""SPE""], [""Cu110"", ""N2"", ""r2scan"", ""relaxed""], [""Cu110"", ""NH3"", ""r2scan"", ""SPE""], [""Cu110"", ""NH3"", ""r2scan"", ""relaxed""], [""Cu110"", ""NO"", ""r2scan"", ""SPE""], [""Cu110"", ""NO"", ""r2scan"", ""relaxed""], [""Cu110"", ""SO2"", ""r2scan"", ""SPE""], [""Cu110"", ""SO2"", ""r2scan"", ""relaxed""], [""Cu110"", ""acetaldehyde"", ""r2scan"", ""SPE""], [""Cu110"", ""acetaldehyde"", ""r2scan"", ""relaxed""], [""Cu110"", ""acetic_acid"", ""r2scan"", ""SPE""], [""Cu110"", ""acetic_acid"", ""r2scan"", ""relaxed""], [""Cu110"", ""ethane"", ""r2scan"", ""SPE""], [""Cu110"", ""ethane"", ""r2scan"", ""relaxed""], [""Cu110"", ""ethene"", ""r2scan"", ""SPE""], [""Cu110"", ""ethene"", ""r2scan"", ""relaxed""], [""Cu110"", ""formaldehyde"", ""r2scan"", ""SPE""], [""Cu110"", ""formaldehyde"", ""r2scan"", ""relaxed""], [""Cu110"", ""formic_acid"", ""r2scan"", ""SPE""], [""Cu110"", ""formic_acid"", ""r2scan"", ""relaxed""], [""Cu110"", ""glycerol"", ""r2scan"", ""SPE""], [""Cu110"", ""methane"", ""r2scan"", ""SPE""], [""Cu110"", ""methane"", ""r2scan"", ""relaxed""], [""Cu110"", ""methanol"", ""r2scan"", ""SPE""]]"
slab,Ir100,r2scan,"{""Ir"": 36}","[[8.145870119269027, 0.0, 0.0], [0.0, 8.145870119269027, 0.0], [0.0, 0.0, 35.76]]","{""Ir"": ""PAW_PBE Ir 06Sep2000""}",35,"[[""Ir100"", ""CH3"", ""r2scan"", ""SPE""], [""Ir100"", ""CH3"", ""r2scan"", ""relaxed""], [""Ir100"", ""CO"", ""r2scan"", ""SPE""], [""Ir100"", ""CO"", ""r2scan"", ""relaxed""], [""Ir100"", ""CO2"", ""r2scan"", ""relaxed""], [""Ir100"", ""DME"", ""r2scan"", ""SPE""], [""Ir100"", ""DME"", ""r2scan"", ""relaxed""], [""Ir100"", ""H2O"", ""r2scan"", ""SPE""], [""Ir100"", ""H2O"", ""r2scan"", ""relaxed""], [""Ir100"", ""H2S"", ""r2scan"", ""SPE""], [""Ir100"", ""H2S"", ""r2scan"", ""relaxed""], [""Ir100"", ""N2"", ""r2scan"", ""SPE""], [""Ir100"", ""N2"", ""r2scan"", ""relaxed""], [""Ir100"", ""NH3"", ""r2scan"", ""SPE""], [""Ir100"", ""NH3"", ""r2scan"", ""relaxed""], [""Ir100"", ""NO"", ""r2scan"", ""SPE""], [""Ir100"", ""NO"", ""r2scan"", ""relaxed""], [""Ir100"", ""SO2"", ""r2scan"", ""SPE""], [""Ir100"", ""SO2"", ""r2scan"", ""relaxed""], [""Ir100"", ""acetaldehyde"", ""r2scan"", ""SPE""], [""Ir100"", ""acetaldehyde"", ""r2scan"", ""relaxed""], [""Ir100"", ""acetic_acid"", ""r2scan"", ""SPE""], [""Ir100"", ""acetic_acid"", ""r2scan"", ""relaxed""], [""Ir100"", ""ethane"", ""r2scan"", ""SPE""], [""Ir100"", ""ethane"", ""r2scan"", ""relaxed""], [""Ir100"", ""ethanol"", ""r2scan"", ""SPE""], [""Ir100"", ""ethanol"", ""r2scan"", ""relaxed""], [""Ir100"", ""ethene"", ""r2scan"", ""SPE""], [""Ir100"", ""ethene"", ""r2scan"", ""relaxed""], [""Ir100"", ""formaldehyde"", ""r2scan"", ""SPE""], [""Ir100"", ""formaldehyde"", ""r2scan"", ""relaxed""], [""Ir100"", ""formic_acid"", ""r2scan"", ""SPE""], [""Ir100"", ""formic_acid"", ""r2scan"", ""relaxed""], [""Ir100"", ""methanol"", ""r2scan"", ""SPE""], [""Ir100"", ""methanol"", ""r2scan"", ""relaxed""]]"
slab,Pt110,pbe,"{""Pt"": 24}","[[11.76, 0.0, 0.0], [0.0, 5.5437171645025325, 0.0], [0.0, 0.0, 34.1577878733769]]","{""Pt"": ""PAW_PBE Pt 04Feb2005""}",34,"[[""Pt110"", ""CH3"", ""pbe"", ""SPE""], [""Pt110"", ""CH3"", ""pbe"", ""relaxed""], [""Pt110"", ""CO"", ""pbe"", ""SPE""], [""Pt110"", ""CO"", ""pbe"", ""relaxed""], [""Pt110"", ""CO2"", ""pbe"", ""SPE""], [""Pt110"", ""CO2"", ""pbe"", ""relaxed""], [""Pt110"", ""DME"", ""pbe"", ""SPE""], [""Pt110"", ""DME"", ""pbe"", ""relaxed""], [""Pt110"", ""H2O"", ""pbe"", ""SPE""], [""Pt110"", ""H2O"", ""pbe"", ""relaxed""], [""Pt110"", ""H2S"", ""pbe"", ""SPE""], [""Pt110"", ""H2S"", ""pbe"", ""relaxed""], [""Pt110"", ""N2"", ""pbe"", ""SPE""], [""Pt110"", ""N2"", ""pbe"", ""relaxed""], [""Pt110"", ""NH3"", ""pbe"", ""SPE""], [""Pt110"", ""NH3"", ""pbe"", ""relaxed""], [""Pt110"", ""NO"", ""pbe"", ""SPE""], [""Pt110"", ""NO"", ""pbe"", ""relaxed""], [""Pt110"", ""SO2"", ""pbe"", ""SPE""], [""Pt110"", ""SO2"", ""pbe"", ""relaxed""], [""Pt110"", ""acetaldehyde"", ""pbe"", ""SPE""], [""Pt110"", ""acetaldehyde"", ""pbe"", ""relaxed""], [""Pt110"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pt110"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pt110"", ""ethene"", ""pbe"", ""SPE""], [""Pt110"", ""ethene"", ""pbe"", ""relaxed""], [""Pt110"", ""formaldehyde"", ""pbe"", ""SPE""], [""Pt110"", ""formaldehyde"", ""pbe"", ""relaxed""], [""Pt110"", ""formic_acid"", ""pbe"", ""SPE""], [""Pt110"", ""formic_acid"", ""pbe"", ""relaxed""], [""Pt110"", ""methane"", ""pbe"", ""SPE""], [""Pt110"", ""methane"", ""pbe"", ""relaxed""], [""Pt110"", ""methanol"", ""pbe"", ""SPE""], [""Pt110"", ""methanol"", ""pbe"", ""relaxed""]]"
slab,Pt110,pbe_d3,"{""Pt"": 24}","[[11.76, 0.0, 0.0], [0.0, 5.5437171645025325, 0.0], [0.0, 0.0, 34.1577878733769]]","{""Pt"": ""PAW_PBE Pt 04Feb2005""}",34,"[[""Pt110"", ""CH3"", ""pbe_d3"", ""SPE""], [""Pt110"", ""CH3"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""CO"", ""pbe_d3"", ""SPE""], [""Pt110"", ""CO"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""CO2"", ""pbe_d3"", ""SPE""], [""Pt110"", ""CO2"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""DME"", ""pbe_d3"", ""SPE""], [""Pt110"", ""DME"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""H2O"", ""pbe_d3"", ""SPE""], [""Pt110"", ""H2O"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""H2S"", ""pbe_d3"", ""SPE""], [""Pt110"", ""H2S"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""N2"", ""pbe_d3"", ""SPE""], [""Pt110"", ""N2"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""NH3"", ""pbe_d3"", ""SPE""], [""Pt110"", ""NH3"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""NO"", ""pbe_d3"", ""SPE""], [""Pt110"", ""NO"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""SO2"", ""pbe_d3"", ""SPE""], [""Pt110"", ""SO2"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""acetaldehyde"", ""pbe_d3"", ""SPE""], [""Pt110"", ""acetaldehyde"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""acetic_acid"", ""pbe_d3"", ""SPE""], [""Pt110"", ""acetic_acid"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""ethene"", ""pbe_d3"", ""SPE""], [""Pt110"", ""ethene"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""formaldehyde"", ""pbe_d3"", ""SPE""], [""Pt110"", ""formaldehyde"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""formic_acid"", ""pbe_d3"", ""SPE""], [""Pt110"", ""formic_acid"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""methane"", ""pbe_d3"", ""SPE""], [""Pt110"", ""methane"", ""pbe_d3"", ""relaxed""], [""Pt110"", ""methanol"", ""pbe_d3"", ""SPE""], [""Pt110"", ""methanol"", ""pbe_d3"", ""relaxed""]]"
slab,Ag100,r2scan,"{""Ag"": 36}","[[8.676200205158938, 0.0, 0.0], [0.0, 8.676200205158938, 0.0], [0.0, 0.0, 36.135]]","{""Ag"": ""PAW_PBE Ag 02Apr2005""}",32,"[[""Ag100"", ""CH3"", ""r2scan"", ""SPE""], [""Ag100"", ""CH3"", ""r2scan"", ""relaxed""], [""Ag100"", ""CO"", ""r2scan"", ""SPE""], [""Ag100"", ""CO"", ""r2scan"", ""relaxed""], [""Ag100"", ""DME"", ""r2scan"", ""SPE""], [""Ag100"", ""H2"", ""r2scan"", ""SPE""], [""Ag100"", ""H2O"", ""r2scan"", ""SPE""], [""Ag100"", ""H2O"", ""r2scan"", ""relaxed""], [""Ag100"", ""H2S"", ""r2scan"", ""SPE""], [""Ag100"", ""N2"", ""r2scan"", ""SPE""], [""Ag100"", ""N2"", ""r2scan"", ""relaxed""], [""Ag100"", ""NH3"", ""r2scan"", ""SPE""], [""Ag100"", ""NH3"", ""r2scan"", ""relaxed""], [""Ag100"", ""NO"", ""r2scan"", ""SPE""], [""Ag100"", ""NO"", ""r2scan"", ""relaxed""], [""Ag100"", ""O2"", ""r2scan"", ""SPE""], [""Ag100"", ""SO2"", ""r2scan"", ""SPE""], [""Ag100"", ""SO2"", ""r2scan"", ""relaxed""], [""Ag100"", ""acetaldehyde"", ""r2scan"", ""SPE""], [""Ag100"", ""acetic_acid"", ""r2scan"", ""SPE""], [""Ag100"", ""acetic_acid"", ""r2scan"", ""relaxed""], [""Ag100"", ""ethene"", ""r2scan"", ""SPE""], [""Ag100"", ""formaldehyde"", ""r2scan"", ""SPE""], [""Ag100"", ""formate"", ""r2scan"", ""SPE""], [""Ag100"", ""formic_acid"", ""r2scan"", ""SPE""], [""Ag100"", ""isopropanol"", ""r2scan"", ""SPE""], [""Ag100"", ""methane"", ""r2scan"", ""SPE""], [""Ag100"", ""methane"", ""r2scan"", ""relaxed""], [""Ag100"", ""methanol"", ""r2scan"", ""SPE""], [""Ag100"", ""propane"", ""r2scan"", ""SPE""], [""Ag100"", ""propanol"", ""r2scan"", ""SPE""], [""Ag100"", ""propene"", ""r2scan"", ""SPE""]]"
slab,Pt100,beef_vdw,"{""Pt"": 36}","[[8.3155757467538, 0.0, 0.0], [0.0, 8.3155757467538, 0.0], [0.0, 0.0, 35.88]]","{""Pt"": ""PAW_PBE Pt 04Feb2005""}",32,"[[""Pt100"", ""CH3"", ""beef_vdw"", ""SPE""], [""Pt100"", ""CH3"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""CO"", ""beef_vdw"", ""SPE""], [""Pt100"", ""CO"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""DME"", ""beef_vdw"", ""SPE""], [""Pt100"", ""DME"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""H2O"", ""beef_vdw"", ""SPE""], [""Pt100"", ""H2O"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""H2S"", ""beef_vdw"", ""SPE""], [""Pt100"", ""H2S"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""N2"", ""beef_vdw"", ""SPE""], [""Pt100"", ""N2"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""NH3"", ""beef_vdw"", ""SPE""], [""Pt100"", ""NH3"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""NO"", ""beef_vdw"", ""SPE""], [""Pt100"", ""NO"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""SO2"", ""beef_vdw"", ""SPE""], [""Pt100"", ""SO2"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""acetaldehyde"", ""beef_vdw"", ""SPE""], [""Pt100"", ""acetaldehyde"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""acetic_acid"", ""beef_vdw"", ""SPE""], [""Pt100"", ""acetic_acid"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""ethene"", ""beef_vdw"", ""SPE""], [""Pt100"", ""ethene"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""formaldehyde"", ""beef_vdw"", ""SPE""], [""Pt100"", ""formaldehyde"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""formic_acid"", ""beef_vdw"", ""SPE""], [""Pt100"", ""formic_acid"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""methane"", ""beef_vdw"", ""SPE""], [""Pt100"", ""methane"", ""beef_vdw"", ""relaxed""], [""Pt100"", ""methanol"", ""beef_vdw"", ""SPE""], [""Pt100"", ""methanol"", ""beef_vdw"", ""relaxed""]]"
slab,Pt100,pbe,"{""Pt"": 36}","[[8.3155757467538, 0.0, 0.0], [0.0, 8.3155757467538, 0.0], [0.0, 0.0, 35.88]]","{""Pt"": ""PAW_PBE Pt 04Feb2005""}",32,"[[""Pt100"", ""CH3"", ""pbe"", ""SPE""], [""Pt100"", ""CH3"", ""pbe"", ""relaxed""], [""Pt100"", ""CO"", ""pbe"", ""SPE""], [""Pt100"", ""CO"", ""pbe"", ""relaxed""], [""Pt100"", ""DME"", ""pbe"", ""SPE""], [""Pt100"", ""DME"", ""pbe"", ""relaxed""], [""Pt100"", ""H2O"", ""pbe"", ""SPE""], [""Pt100"", ""H2O"", ""pbe"", ""relaxed""], [""Pt100"", ""H2S"", ""pbe"", ""SPE""], [""Pt100"", ""H2S"", ""pbe"", ""relaxed""], [""Pt100"", ""N2"", ""pbe"", ""SPE""], [""Pt100"", ""N2"", ""pbe"", ""relaxed""], [""Pt100"", ""NH3"", ""pbe"", ""SPE""], [""Pt100"", ""NH3"", ""pbe"", ""relaxed""], [""Pt100"", ""NO"", ""pbe"", ""SPE""], [""Pt100"", ""NO"", ""pbe"", ""relaxed""], [""Pt100"", ""SO2"", ""pbe"", ""SPE""], [""Pt100"", ""SO2"", ""pbe"", ""relaxed""], [""Pt100"", ""acetaldehyde"", ""pbe"", ""SPE""], [""Pt100"", ""acetaldehyde"", ""pbe"", ""relaxed""], [""Pt100"", ""acetic_acid"", ""pbe"", ""SPE""], [""Pt100"", ""acetic_acid"", ""pbe"", ""relaxed""], [""Pt100"", ""ethene"", ""pbe"", ""SPE""], [""Pt100"", ""ethene"", ""pbe"", ""relaxed""], [""Pt100"", ""formaldehyde"", ""pbe"", ""SPE""], [""Pt100"", ""formaldehyde"", ""pbe"", ""relaxed""], [""Pt100"", ""formic_acid"", ""pbe"", ""SPE""], [""Pt100"", ""formic_acid"", ""pbe"", ""relaxed""], [""Pt100"", ""methane"", ""pbe"", ""SPE""], [""Pt100"", ""methane"", ""pbe"", ""relaxed""], [""Pt100"", ""methanol"", ""pbe"", ""SPE""], [""Pt100"", ""methanol"", ""pbe"", ""relaxed""]]"
