surface,molecule,functional,mode,E_ads_perlmutter,E_ads_kestrel,complex_total_difference_eV,perlmutter_directory,kestrel_directory,same_structure,geometry_evidence,selection_reason
Ag111,CO,pbe,SPE,0.12138742,0.12138728,1.4E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,CO,pbe_d3,SPE,0.06889426,0.06889412,1.4E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,CO,r2scan,SPE,0.19953436,0.19953426,1.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,CO,beef_vdw,SPE,0.15201183,0.15201176,7E-8,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CO/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,DME,pbe,SPE,-0.01698440,-0.01698353,-8.7E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_DME/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,DME,pbe_d3,SPE,-0.08376782,-0.08376695,-8.7E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_DME/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,DME,r2scan,SPE,0.06449857,0.06449208,0.00000649,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_DME/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,DME,beef_vdw,SPE,-0.34510285,-0.34510385,0.0000010,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_DME/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2O,pbe,SPE,-0.05337270,-0.05336643,-0.00000627,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,H2O,pbe_d3,SPE,-0.05343391,-0.05342763,-0.00000628,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_H2O/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
