surface,molecule,pbe,pbe_d3,r2scan,beef_vdw
Pt110,propane,0.623245,-0.119266,0.313227,0.485851
Pt110,propanol,0.716635,-0.119741,0.387352,0.587052
Pt110,propene,-0.469789,-1.268611,-0.883893,-0.451509
Pt111,ethane,0.567431,0.444498,0.665243,0.195647
Pt111,ethanol,0.372939,0.146383,0.440529,-0.012199
Pt111,ethene,-0.892164,-1.041394,-0.915283,-1.049727
Pt111,glycerol,0.197953,-0.364378,0.193289,-0.351664
Pt111,isopropanol,0.400961,0.10068,0.479393,-0.065293
Pt111,propane,0.579893,0.236041,0.597551,0.104914
Pt111,propanol,0.33121,-0.114665,0.314478,-0.137636
Pt111,propene,-0.944099,-1.419234,-1.140563,-1.202218
