surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag100,H2S,pbe,-0.78559920,-0.44,0.34559920,1.18859920,-0.44,-0.843,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/PBE
Ag100,H2S,pbe_d3,-1.00200046,-0.44,0.56200046,1.73500046,-0.44,-1.173,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/PBE_D3
Ag100,H2S,r2scan,-1.25068645,-0.44,0.81068645,,-0.44,,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/r2scan
Ag100,N2,pbe,-0.62958690,-0.05,0.57958690,1.21958690,-0.05,-0.64,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/PBE
Ag100,N2,pbe_d3,-0.62360826,-0.05,0.57360826,1.28360826,-0.05,-0.71,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/PBE_D3
Ag100,N2,r2scan,-1.02017659,-0.05,0.97017659,2.08317659,-0.05,-1.113,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/r2scan
Ag100,NH3,pbe,-1.03560514,-0.73,0.30560514,1.35560514,-0.73,-1.05,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/PBE
Ag100,NH3,pbe_d3,-1.15808355,-0.73,0.42808355,1.70308355,-0.73,-1.275,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/PBE_D3
Ag100,NH3,r2scan,-1.50351096,-0.73,0.77351096,2.38351096,-0.73,-1.610,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/r2scan
Ag100,NO,pbe,-1.52213637,-0.67,0.85213637,2.44213637,-0.67,-1.59,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NO/singlepoint/PBE
Ag100,NO,pbe_d3,-1.67254399,-0.67,1.00254399,2.84154399,-0.67,-1.839,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NO/singlepoint/PBE_D3
Ag100,SO2,pbe,-1.28067470,-0.54,0.74067470,2.06467470,-0.54,-1.324,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/PBE
Ag100,SO2,pbe_d3,-1.65635803,-0.54,1.11635803,2.95035803,-0.54,-1.834,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/PBE_D3
Ag100,SO2,r2scan,-2.00715127,-0.54,1.46715127,3.66815127,-0.54,-2.201,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/r2scan
Ag100,acetaldehyde,pbe,-0.69811020,-0.50,0.19811020,0.91711020,-0.50,-0.719,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/PBE
Ag100,acetaldehyde,pbe_d3,-0.89424528,-0.50,0.39424528,1.42524528,-0.50,-1.031,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/PBE_D3
Ag100,acetaldehyde,r2scan,-1.20374345,-0.50,0.70374345,2.02374345,-0.50,-1.32,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/r2scan
Ag100,acetic_acid,r2scan,-1.35827899,-0.58,0.77827899,2.24227899,-0.58,-1.464,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetic_acid/singlepoint/r2scan
Ag100,ethane,pbe,-0.020495,-0.294643,-0.274149,0.910495,-0.29,-1.18,Previously published single-point result,
Ag100,ethane,pbe_d3,-0.021602,-0.294643,-0.273042,1.211602,-0.29,-1.48,Previously published single-point result,
Ag100,ethane,r2scan,0.136341,-0.294643,-0.430985,1.723659,-0.29,-2.15,Previously published single-point result,
