surface,molecule,functional,system,E_ads_DFT,E_ads_ML,delta_eV
Rh110,formaldehyde,pbe_d3,H2CO_Rh110,-2.2890904399999883,-2.083115,0.20597543999998846
Rh110,formaldehyde,r2scan,H2CO_Rh110,-2.091946309999912,-2.083115,0.008831309999912218
Rh110,formic_acid,pbe,HCOOH_Rh110,-1.0474575599999945,-1.062986,-0.015528440000005528
Rh110,formic_acid,pbe_d3,HCOOH_Rh110,-1.4621965299999928,-1.062986,0.39921052999999285
Rh110,methane,pbe,CH4_Rh110,-0.39695685999999597,-0.713671,-0.3167141400000041
Rh110,methane,pbe_d3,CH4_Rh110,-0.7083943400000017,-0.713671,-0.005276659999998379
Rh110,methane,r2scan,CH4_Rh110,-0.4253345599999925,-0.713671,-0.2883364400000076
Rh110,methanol,pbe,CH3OH_Rh110,-0.8674310100000149,-0.962749,-0.09531798999998509
Rh110,methanol,pbe_d3,CH3OH_Rh110,-1.2605791799999828,-0.962749,0.29783017999998285
Rh110,methanol,r2scan,CH3OH_Rh110,-0.9201553799999544,-0.962749,-0.04259362000004552
Rh111,CH3,pbe,CH3_Rh111,-2.4405710200000037,-2.575314,-0.1347429799999964
Rh111,CH3,pbe_d3,CH3_Rh111,-2.7454019899999835,-2.575314,0.17008798999998342
Rh111,CO,pbe,CO_Rh111,-2.70982620000005,-2.589394,0.12043220000004995
Rh111,CO,pbe_d3,CO_Rh111,-2.9798497600000093,-2.589394,0.39045576000000937
Rh111,CO2,pbe,CO2_Rh111,-0.7096336300000452,-0.460098,0.2495356300000452
Rh111,H2O,pbe,H2O_Rh111,-1.031108800000009,-0.855835,0.17527380000000903
Rh111,H2O,pbe_d3,H2O_Rh111,-1.2906175800000153,-0.855835,0.43478258000001524
Rh111,H2S,pbe,H2S_Rh111,-1.4723197500000342,-1.123494,0.34882575000003424
Rh111,H2S,pbe_d3,H2S_Rh111,-1.9010372400000115,-1.123494,0.7775432400000115
Rh111,N2,pbe,N2_Rh111,-1.2251278700000157,-0.720476,0.5046518700000157
Rh111,N2,pbe_d3,N2_Rh111,-1.51190394999999,-0.720476,0.79142794999999
Rh111,NH3,pbe,NH3_Rh111,-1.6024624300000312,-1.529953,0.0725094300000313
Rh111,NH3,pbe_d3,NH3_Rh111,-1.9271115799999912,-1.529953,0.39715857999999127
Rh111,NO,pbe,NO_Rh111,-3.5547061700000118,-2.825155,0.7295511700000117
Rh111,NO,pbe_d3,NO_Rh111,-3.835713180000017,-2.825155,1.0105581800000167
Rh111,SO2,pbe,SO2_Rh111,-2.1953334300000265,-1.840502,0.35483143000002637
Rh111,SO2,pbe_d3,SO2_Rh111,-2.744409529999995,-1.840502,0.903907529999995
Rh111,acetaldehyde,pbe,CH3CHO_Rh111,-1.0038474400000368,-0.818882,0.18496544000003678
Rh111,acetaldehyde,pbe_d3,CH3CHO_Rh111,-1.4474105400000141,-0.818882,0.6285285400000141
Rh111,ethane,pbe,C2H6_Rh111,-0.702142610000017,-0.523201,0.17894161000001696
Rh111,ethane,pbe_d3,C2H6_Rh111,-1.1090861099999714,-0.523201,0.5858851099999713
Rh111,ethanol,pbe,CH3CH2OH_Rh111,-1.0474196900000479,-0.814613,0.23280669000004783
Rh111,ethanol,pbe_d3,CH3CH2OH_Rh111,-1.5796294599999499,-0.814613,0.7650164599999498
Rh111,ethene,pbe,C2H4_Rh111,-1.6032951700000169,-1.542095,0.061200170000016874
Rh111,ethene,pbe_d3,C2H4_Rh111,-2.06155077,-1.542095,0.5194557700000002
Rh111,formaldehyde,pbe,H2CO_Rh111,-1.5542239600000265,-1.226685,0.32753896000002647
Rh111,formaldehyde,pbe_d3,H2CO_Rh111,-1.7192539899999915,-1.226685,0.49256898999999144
Rh111,formic_acid,pbe,HCOOH_Rh111,-1.109298539999994,-0.907377,0.20192153999999396
Rh111,formic_acid,pbe_d3,HCOOH_Rh111,-1.5154678199999907,-0.907377,0.6080908199999907
Rh111,methane,pbe,CH4_Rh111,-0.6554911800000198,-0.626329,0.0291621800000198
Rh111,methane,pbe_d3,CH4_Rh111,-0.9503123499999795,-0.626329,0.32398334999997946
